Mod,likes,downloads,time,unique_dl,views,dl_dif
2856,519,22941,1738,14477,142962,8464
2364,877,25145,1802,17957,86740,7188
3150,51,981,1612,608,23832,373
2340,214,7318,1803,4828,53652,2490
2754,30,874,1765,535,19087,339
2440,1893,101653,1797,73236,169108,28417
2854,35,1487,1739,879,29386,608
2381,125,2120,1801,1563,28882,557
2798,802,18250,1752,10709,98060,7541
2733,12,768,1768,478,16719,290
2190,1158,48253,1809,33271,303983,14982
2892,71,1287,1725,846,20875,441
3011,226,5602,1672,3456,31326,2146
3139,397,5067,1619,3071,28727,1996
2360,194,9197,1802,6156,73535,3041
2945,162,2548,1702,1772,35358,776
2967,24,895,1697,581,22441,314
2646,1789,70416,1781,44262,290531,26154
2378,25,566,1801,407,24307,159
2810,70,1306,1748,830,13121,476
2944,41,1689,1702,975,33316,714
2847,29,1066,1741,618,18022,448
2746,260,4078,1767,2660,14917,1418
2284,151,6395,1805,4351,26040,2044
2930,289,3910,1708,2844,42401,1066
3080,228,8930,1644,6066,39479,2864
3579,163,4014,1280,3087,76874,927
2213,234,10013,1808,6689,48223,3324
2927,113,3857,1711,2355,48193,1502
3274,87,2968,1570,1707,42871,1261
2648,1876,34743,1781,22524,114628,12219
2620,814,14179,1783,9462,87819,4717
2426,172,4442,1798,3180,47855,1262
3297,677,14027,1555,9448,92726,4579
2336,20,435,1803,347,28127,88
3932,5,114,532,94,6937,20
3927,20,337,553,264,11049,73
2895,361,11098,1725,6967,101521,4131
2187,93,4061,1809,3113,52656,948
2690,2,187,1775,64,10220,123
2908,130,4209,1719,2856,41904,1353
3070,490,13703,1650,8710,67784,4993
2886,74,2629,1728,1504,65669,1125
3877,206,3538,769,2802,31321,736
2439,26,734,1797,532,17426,202
3912,64,523,643,431,15499,92
2237,29,1342,1807,974,38406,368
2799,806,28219,1751,18750,166576,9469
3358,46,833,1479,589,18481,244
3119,62,2452,1628,1314,39543,1138
2451,196,6488,1797,4538,68965,1950
2716,32,1358,1771,846,22637,512
2424,267,8739,1799,6596,48474,2143
2880,371,14444,1729,8942,63597,5502
2999,99,4209,1679,2659,35793,1550
3161,129,3809,1607,2060,36563,1749
2208,431,13830,1808,9881,86758,3949
2425,154,3447,1798,2626,24608,821
2390,227,11722,1801,7786,91382,3936
3485,64,1772,1365,1381,23642,391
3969,6,101,220,89,6274,12
3039,236,10046,1662,6263,54652,3783
2310,232,10222,1804,7108,103224,3114
2820,328,12358,1747,8015,49018,4343
2348,98,3824,1803,2100,18472,1724
3825,16,208,931,178,16728,30
3333,93,2239,1507,1693,34357,546
3800,1603,22197,977,16865,68769,5332
2374,64,3972,1802,2568,73459,1404
2588,395,11928,1786,8083,90178,3845
3954,24,398,397,277,5666,121
2222,55,2785,1808,1911,68965,874
3018,85,1682,1669,1192,25178,490
2995,9,1174,1684,592,39137,582
3618,25,363,1207,268,15691,95
3268,677,11966,1572,7649,54264,4317
2982,742,12265,1690,8719,40157,3546
2484,408,12518,1794,8468,92510,4050
2167,51,1534,1810,1093,29653,441
2247,33,1784,1807,1123,35328,661
3730,571,26777,1054,22248,91258,4529
2162,132,4568,1811,3492,33916,1076
2910,388,6897,1719,4707,49295,2190
2524,69,1474,1791,1036,27282,438
3838,49,574,908,487,24939,87
3344,32,968,1502,788,30408,180
2305,42,1048,1804,779,26162,269
2297,581,14317,1805,9708,71016,4609
3951,12,123,452,81,3774,42
3845,43,618,869,458,20105,160
2618,148,3538,1783,2440,33736,1098
3292,20,441,1561,326,19706,115
2966,67,1728,1697,1160,28725,568
3026,103,1547,1667,1086,14489,461
3899,126,1582,703,1132,6787,450
2283,462,7890,1805,5896,93949,1994
2397,70,1668,1800,1150,51625,518
2765,198,9319,1760,5481,52155,3838
3383,140,1666,1448,1305,23967,361
2783,181,4475,1754,3185,65088,1290
3111,249,5518,1630,3500,24753,2018
3945,85,1106,486,929,19728,177
3004,85,3661,1676,1910,43003,1751
2635,29,1984,1782,1092,13954,892
2526,12,799,1791,506,18815,293
2271,81,3297,1806,2226,38549,1071
2149,32,889,1812,619,26146,270
2828,108,2845,1746,1848,33119,997
3148,171,3265,1613,1997,51125,1268
2725,27,1605,1770,1023,55378,582
3008,65,2423,1673,1439,26684,984
2553,15,597,1790,414,18038,183
2802,108,4892,1750,3329,48756,1563
3961,36,361,328,298,9442,63
2841,304,8078,1742,5396,40122,2682
2371,42,1557,1802,1199,36624,358
2695,64,1203,1774,712,21858,491
2730,383,23112,1769,14575,87870,8537
2358,506,21084,1802,15632,137417,5452
2458,44,1040,1796,786,17499,254
2436,13,586,1798,419,26248,167
2475,21,1017,1795,772,26472,245
2454,54,1170,1797,706,26032,464
2259,26,1028,1807,847,21365,181
3197,134,4586,1595,2757,27722,1829
2561,99,2767,1789,1884,25898,883
3385,144,2268,1447,1618,28518,650
3355,80,1536,1485,1213,27350,323
2361,76,1596,1802,1255,17848,341
3907,31,259,670,227,11441,32
3081,317,11219,1644,6141,77712,5078
3113,115,3850,1630,2000,53186,1850
2303,430,13780,1804,10142,105529,3638
2621,95,1988,1783,1337,36104,651
2991,93,3471,1685,2156,30614,1315
2362,180,4144,1802,3275,56340,869
3879,19,468,765,280,19583,188
2221,104,5213,1808,3819,39500,1394
2652,37,574,1781,438,22467,136
2309,450,10172,1804,7129,37826,3043
2241,37,1084,1807,812,51460,272
2667,131,2006,1779,1436,25019,570
2321,71,2274,1804,1597,17871,677
3958,30,484,359,291,5113,193
3842,73,1317,893,916,9214,401
2736,161,3765,1768,2435,48402,1330
2435,7,414,1798,259,14850,155
2320,94,2682,1804,1919,49203,763
2349,60,2113,1803,1388,49119,725
2177,12,428,1810,239,8162,189
3834,26,608,913,517,7838,91
2449,16,643,1797,459,49084,184
2703,353,11189,1773,7506,151848,3683
2387,618,42052,1801,24774,201623,17278
2872,228,9375,1732,5500,52757,3875
2405,52,1124,1800,821,9888,303
2281,101,4776,1806,3085,43423,1691
2289,72,5081,1805,3591,67583,1490
2219,2205,84141,1808,56887,417696,27254
2850,45,1291,1740,901,31145,390
2565,118,3665,1788,2572,23252,1093
3876,14,382,801,301,6925,81
2150,1119,24562,1812,16885,109221,7677
2166,125,2362,1810,1500,32114,862
2712,185,6837,1772,4397,62002,2440
2767,103,1831,1760,1284,36418,547
2192,519,8912,1809,6425,69046,2487
2176,1223,34830,1810,20287,177255,14543
3460,42,655,1398,510,23359,145
3576,229,5531,1282,4647,68189,884
2795,156,1800,1752,1331,23243,469
3043,36,691,1660,463,19900,228
2584,171,6781,1786,4153,79825,2628
2626,72,1475,1782,989,33347,486
3810,598,14154,967,10783,110872,3371
2594,210,4362,1785,3078,22432,1284
2859,382,10279,1736,6681,42511,3598
2195,18,810,1809,492,9347,318
2511,56,1678,1792,1163,31577,515
2416,1636,75234,1799,50347,407650,24887
2344,28,985,1803,648,33045,337
2829,28,648,1745,473,12166,175
2453,3746,77815,1797,54573,218274,23242
2599,345,8363,1785,6060,104668,2303
2279,53,1662,1806,1145,52715,517
2501,103,2120,1793,1451,55312,669
2498,150,2604,1793,1864,17411,740
2175,87,2519,1810,1838,27471,681
2291,159,3312,1805,2273,54581,1039
2272,129,1666,1806,1316,16749,350
3900,35,646,703,493,9562,153
2427,490,22293,1798,15801,162130,6492
3963,54,500,304,433,11454,67
2877,26,628,1732,479,15721,149
2924,233,4457,1714,3035,59378,1422
2357,66,3011,1802,2115,67979,896
3488,408,11659,1360,9864,93872,1795
2466,67,1815,1796,1213,42102,602
2523,25,809,1791,550,15980,259
2677,3,158,1778,98,17387,60
2893,64,1153,1725,844,22625,309
2687,131,4559,1775,3294,20584,1265
3844,53,689,887,541,14040,148
3173,135,3372,1604,1958,51761,1414
2813,15,704,1748,395,17941,309
2470,5414,121350,1796,71418,394727,49932
3946,58,740,478,624,11603,116
2280,3854,68739,1806,50794,250231,17945
3382,108,1658,1451,1219,68628,439
3206,129,3697,1594,2264,40585,1433
2551,54,1415,1790,1080,19639,335
2819,2027,41628,1747,29030,276470,12598
2589,25,1579,1786,946,37448,633
3147,119,3586,1614,2021,34349,1565
3024,25,487,1667,345,22221,142
2822,501,12301,1747,8283,114608,4018
2979,58,1492,1692,933,18545,559
3955,21,405,364,274,2683,131
2894,55,1341,1725,847,30758,494
2370,44,1513,1802,1114,42706,399
2614,28,432,1783,322,19381,110
3930,673,11430,542,8651,61114,2779
2957,121,2593,1700,1761,17284,832
2923,66,902,1714,672,29189,230
2287,68,3558,1805,2515,35782,1043
2516,388,10016,1792,6573,73810,3443
2793,92,4993,1753,3324,42615,1669
2918,409,11274,1715,7521,58458,3753
3973,30,446,174,364,11822,82
2696,18,365,1774,223,12489,142
2642,124,2337,1782,1399,24818,938
3186,26,763,1599,491,29184,272
2290,2264,56497,1805,33331,197954,23166
2142,10,325,1813,235,15900,90
3453,14,244,1403,199,16135,45
3922,248,2496,604,1754,13245,742
2698,34,1269,1774,957,19950,312
2479,141,2783,1795,2045,70153,738
3881,58,1447,760,945,17349,502
2367,253,6292,1802,4361,97089,1931
2407,765,24423,1800,15019,107555,9404
2278,9,415,1806,241,12290,174
2307,596,46192,1804,29666,141438,16526
3128,27,1161,1625,565,18498,596
3118,73,1509,1628,921,9372,588
2965,282,4467,1698,3082,47029,1385
3880,376,6827,763,5095,27980,1732
2210,193,5180,1808,4024,85863,1156
3591,46,524,1255,436,32197,88
2194,187,4719,1809,3327,42399,1392
3823,376,7623,934,4911,67180,2712
3957,39,387,360,314,10739,73
2833,244,8044,1744,5101,57414,2943
2562,72,2140,1789,1376,25968,764
2779,100,4979,1755,2986,37834,1993
2347,451,12535,1803,8542,126170,3993
3074,102,3617,1648,1976,32841,1641
2727,29,1470,1770,937,45715,533
3300,103,1431,1551,981,27485,450
2306,55,1763,1804,1310,22568,453
2417,640,13197,1799,8751,55985,4446
2311,4099,122975,1804,78074,515630,44901
3950,106,1053,452,958,12882,95
2238,75,2788,1807,1934,36868,854
2197,6,169,1809,114,16427,55
3299,166,3234,1554,2330,51820,904
3071,110,3303,1649,2002,32727,1301
2502,67,2302,1793,1745,40559,557
2256,77,3117,1807,2394,47371,723
2611,1199,19652,1783,13927,107782,5725
2934,263,5786,1706,3828,35943,1958
3533,392,15823,1318,13311,104426,2512
2834,134,2786,1744,1965,45637,821
2797,264,9609,1752,6105,39272,3504
3092,18,1219,1639,686,23772,533
3868,61,1090,818,731,13871,359
2275,39,2335,1806,1409,32142,926
2823,79,1375,1746,972,37523,403
3815,99,1234,954,893,7542,341
2536,8,734,1791,437,18056,297
2152,7,410,1812,276,10910,134
2569,110,2484,1788,1727,38375,757
2232,27,758,1808,500,13080,258
2483,3589,70995,1795,47211,198940,23784
3505,88,1642,1342,1155,23793,487
2663,95,3018,1779,2041,47351,977
2935,30,2135,1706,1320,48571,815
2550,132,2655,1790,2034,30864,621
2246,25,1368,1807,903,14616,465
3422,431,7428,1419,5816,95170,1612
2702,94,2435,1773,1617,53083,818
2406,32,628,1800,434,8794,194
2607,183,20333,1784,15930,80197,4403
2499,200,5709,1793,3739,57428,1970
2950,158,3270,1701,1868,61225,1402
2899,48,598,1724,422,14347,176
3926,27,275,569,233,10333,42
2932,697,8977,1707,6486,42100,2491
2338,376,7396,1803,4825,52014,2571
2745,58,2088,1767,1414,21888,674
3236,291,7686,1584,4876,77221,2810
2630,125,2582,1782,1642,20399,940
2446,492,11731,1797,7050,96373,4681
2444,211,6278,1797,4192,36328,2086
3414,414,5049,1421,4097,58368,952
2752,57,1050,1765,703,35213,347
2572,791,12754,1788,8707,85052,4047
3937,46,407,509,307,7868,100
3914,64,737,634,541,12916,196
2693,21,1568,1774,958,29425,610
2421,139,5746,1799,3840,80225,1906
3291,11,254,1561,179,18205,75
3915,69,841,629,662,11912,179
3115,41,865,1629,534,5499,331
2389,331,12772,1801,8019,66379,4753
