Mod,likes,downloads,time,unique_dl,views,dl_dif
361,3,49,375,42,10341,7
125,3,216,420,120,5804,96
881,101,1095,157,1031,14023,64
985,87,941,132,827,10471,114
211,3,90,407,42,7204,48
759,11,73,183,62,1960,11
543,306,4622,295,2979,40117,1643
964,19,258,139,238,7116,20
710,34,241,196,213,9618,28
697,134,1407,198,1259,8401,148
999,100,3313,125,2301,16765,1012
712,8,185,195,177,4401,8
805,48,366,172,287,3995,79
94,82,2550,425,2161,56271,389
319,59,802,383,708,20757,94
1010,175,2322,121,2027,27316,295
830,52,527,165,424,7965,103
1021,13,49,117,45,2597,4
695,34,221,202,156,4794,65
119,1,54,421,28,4377,26
353,3,46,377,27,4106,19
439,2,20,359,11,4133,9
523,408,9912,313,6676,62812,3236
401,6,139,368,73,5962,66
926,104,1216,145,1108,9527,108
270,82,705,395,610,15868,95
924,7,165,147,87,3551,78
650,383,3522,222,3093,39310,429
726,24,168,190,151,7592,17
311,13,649,385,305,10771,344
585,96,1328,266,993,15510,335
486,129,2284,340,1691,24082,593
537,14,469,299,273,8094,196
921,31,479,148,404,6128,75
842,502,19841,163,15319,47271,4522
899,136,1906,154,1620,18232,286
724,3,31,191,29,2517,2
785,5,34,177,29,1898,5
63,845,15286,430,11367,183598,3919
183,375,4939,411,4175,45984,764
284,31,293,390,261,10001,32
744,131,1346,185,1130,17461,216
829,185,2705,166,2490,21485,215
35,33,1454,435,714,20630,740
161,21,514,415,363,8598,151
410,438,9574,366,7369,50986,2205
242,1093,16410,400,14038,165466,2372
927,26,380,146,310,10874,70
916,133,2427,150,1829,19134,598
558,913,24201,287,15698,104635,8503
370,109,876,373,703,16753,173
536,4,231,301,225,10316,6
864,34,388,159,316,4429,72
760,124,8531,182,6199,23352,2332
991,5,252,129,81,4412,171
344,36,722,379,632,13643,90
467,162,3368,345,2935,31560,433
628,83,679,231,584,10865,95
1029,14,223,113,215,5997,8
409,4,68,366,49,6181,19
405,69,1084,366,888,10684,196
552,11,339,292,168,6831,171
422,73,954,362,771,11721,183
817,13,170,168,142,8561,28
47,14,195,433,117,6811,78
903,49,651,153,581,8793,70
955,24,253,141,205,9098,48
388,54,929,370,800,20632,129
904,385,9383,153,6962,32067,2421
682,628,15339,203,11359,84861,3980
290,6,242,388,93,3714,149
503,678,11578,329,9802,74332,1776
460,409,9524,347,6481,39878,3043
164,295,2533,414,2023,62522,510
121,9,150,421,93,3457,57
606,336,6771,248,5279,61574,1492
470,36,831,343,724,19706,107
23,9,230,436,140,6968,90
770,13,161,180,126,3269,35
949,212,3682,142,3207,21360,475
792,128,1359,175,1235,8839,124
263,33,635,397,530,14762,105
907,51,398,153,359,10120,39
402,175,3761,367,2902,68709,859
217,3,77,406,23,1881,54
219,13,471,405,297,9024,174
493,335,6136,335,4858,109915,1278
819,6,81,168,75,3901,6
922,4,213,148,96,4502,117
75,15,187,428,122,7464,65
1002,35,495,124,367,7457,128
704,1946,42163,198,38313,235005,3850
511,4,143,324,136,6366,7
701,13,129,199,118,12989,11
735,34,454,188,373,9963,81
1038,166,2628,107,2483,21073,145
544,139,1231,292,997,16285,234
477,31,1167,341,580,18463,587
848,4,112,162,107,3334,5
826,6,140,162,124,3768,16
600,1086,23660,254,19687,92872,3973
372,96,940,373,700,18301,240
741,0,71,186,26,1826,45
641,1049,37689,227,31869,202556,5820
831,264,2939,165,2558,26464,381
343,129,1738,379,1222,10916,516
581,15,221,268,188,3290,33
557,1321,37871,288,26890,112632,10981
751,57,714,184,611,6399,103
717,3,32,193,30,3158,2
865,1,12,158,11,1679,1
840,73,684,164,613,7668,71
216,589,17447,406,12763,108779,4684
224,1,40,404,23,3279,17
19,14,221,437,133,5906,88
851,34,676,161,605,9060,71
57,7,130,432,65,9765,65
875,200,3550,157,2720,33427,830
612,1967,56952,242,44497,196607,12455
1046,22,255,102,208,7039,47
649,257,3029,223,2815,17305,214
617,108,1677,239,1233,17595,444
661,20,111,218,91,3278,20
640,105,1120,228,889,19126,231
979,2,35,133,23,2401,12
786,15,132,177,109,3393,23
226,2,48,404,24,4920,24
959,497,11010,141,9343,58795,1667
406,56,1185,366,697,21866,488
471,2,58,343,50,3586,8
797,63,463,173,435,8931,28
936,336,11839,144,9273,44322,2566
295,0,52,387,27,2453,25
854,12,88,160,81,3699,7
180,10,326,411,198,10799,128
495,287,4277,333,3405,65882,872
138,6,68,419,44,5153,24
331,561,10952,382,8976,105489,1976
675,109,968,212,843,15108,125
923,3,21,147,20,1915,1
157,121,3220,415,2575,39690,645
430,278,5305,360,4337,39328,968
943,54,1631,143,1424,17002,207
262,1256,18890,397,16026,151264,2864
114,1,44,422,23,4136,21
256,59,1627,399,1143,28907,484
371,1941,63284,373,41077,243259,22207
940,4,300,144,113,5839,187
288,117,1053,390,898,16822,155
298,11,442,387,275,6799,167
878,0,11,157,10,955,1
1052,234,2980,96,2715,24341,265
222,4,164,404,71,16990,93
391,11,206,370,182,18953,24
1031,46,630,110,488,7417,142
231,4,43,404,27,4050,16
318,135,1612,383,1338,26379,274
434,1,60,359,42,2807,18
15,65,2308,437,1895,42644,413
269,84,749,395,653,18944,96
1053,24,408,90,326,7885,82
212,39,427,406,334,14416,93
619,0,97,238,55,4187,42
29,32,1196,436,638,15114,558
692,19,228,202,181,4933,47
1045,131,5662,103,4609,34446,1053
1034,77,1197,109,1109,9132,88
550,8,205,294,93,6683,112
992,41,1129,129,1063,19502,66
282,534,6609,391,5487,45180,1122
528,183,4569,307,2923,40144,1646
781,179,5381,177,3154,42557,2227
394,1208,25086,369,16820,101345,8266
438,175,4492,359,3645,40047,847
684,13,463,204,403,5438,60
42,13,468,434,184,7781,284
100,40,328,423,297,21846,31
952,39,333,142,272,5557,61
611,16,312,244,280,8920,32
348,5,88,378,62,4094,26
574,715,12172,272,10043,94281,2129
