Mod,likes,downloads,time,unique_dl,views,dl_dif
3620,2337,56629,1207,41388,273013,15241
125,691,7183,2286,5183,95096,2000
958,380,11843,2158,7691,67907,4152
1985,711,19368,1881,11173,103889,8195
3380,825,12422,1451,6998,53802,5424
211,45,386,2278,282,63508,104
3638,261,4172,1173,2844,22575,1328
543,130,5267,2237,4452,60921,815
765,133,14996,2201,11590,72660,3406
964,104,2135,2158,1593,28767,542
710,69,1659,2211,1155,19040,504
697,704,16613,2214,10502,61506,6111
3969,872,17735,839,11837,76067,5898
1525,166,3233,2035,2266,21499,967
1341,1024,36487,2087,22909,97879,13578
2809,99,1512,1748,971,24452,541
1215,859,30681,2114,21510,137334,9171
3486,443,6149,1364,4750,37051,1399
3981,1870,19888,831,13809,121924,6079
805,43,1771,2189,1176,24241,595
4344,16,354,231,241,7462,113
1560,57,1295,2028,929,21110,366
1496,24,680,2044,459,11741,221
830,7,206,2183,176,15039,30
4089,13,181,708,109,6400,72
1021,157,4883,2151,3113,50839,1770
442,62,3506,2253,2798,34290,708
4369,1,25,153,21,1352,4
1984,53,2690,1882,1853,40576,837
1842,16,868,1951,619,16684,249
1419,4,244,2059,172,11707,72
1647,34,2172,1999,1418,23971,754
3013,583,12345,1671,8200,70237,4145
2118,86,1700,1824,1331,29333,369
4170,142,2133,581,1573,24069,560
2058,1230,23897,1852,14088,121810,9809
963,205,19688,2158,13663,138218,6025
902,7,456,2167,334,15160,122
116,24,423,2286,299,68227,124
1970,103,3972,1893,2741,43919,1231
1689,87,2313,1987,1450,21595,863
270,1,11,2271,7,111084,4
1022,36,699,2150,485,21887,214
4131,81,946,636,699,10971,247
3696,73,1358,1092,939,13629,419
4020,28,243,783,172,7004,71
3713,85,1766,1073,1158,32321,608
3316,799,30661,1533,21172,229467,9489
759,166,3736,2203,2440,27695,1296
632,24,857,2224,652,51835,205
428,1758,73419,2255,47983,309854,25436
4248,116,2511,450,1876,29587,635
750,3426,133009,2204,77196,550979,55813
3912,175,5240,889,4593,69383,647
3572,216,18685,1284,13900,79213,4785
3583,1973,41443,1272,27675,169655,13768
4097,17,428,692,260,11230,168
391,39,518,2258,260,27696,258
4133,373,3889,634,3064,26831,825
2608,39,617,1784,469,15232,148
486,1595,34715,2246,22711,111257,12004
2115,883,22916,1826,14340,86213,8576
1317,1,64,2092,44,15735,20
3536,9,125,1317,107,8504,18
921,16,1200,2163,931,37678,269
2061,12,320,1851,236,15651,84
179,1050,15269,2281,9670,126623,5599
3704,59,1017,1084,698,25124,319
263,10,260,2272,163,139191,97
1569,84,2458,2025,1684,71189,774
1975,27,449,1888,328,14598,121
3683,188,2572,1118,1863,22904,709
4313,10,145,352,83,6251,62
183,221,2868,2281,2462,142610,406
4063,199,2582,730,1555,13865,1027
4025,82,477,756,418,13531,59
1188,71,1504,2120,1205,15313,299
284,24,668,2270,432,105420,236
989,90,1924,2156,1186,24213,738
1566,420,14727,2025,9466,52427,5261
410,582,7387,2257,4649,200765,2738
4217,9,427,500,275,14702,152
1242,185,6641,2108,4868,47837,1773
322,22,400,2266,243,39920,157
3280,23,731,1565,464,10481,267
370,284,2985,2261,2283,60603,702
4026,15,176,754,121,8312,55
1655,21,1494,1996,1115,19493,379
1818,43,1301,1960,959,23817,342
4157,88,1975,599,1448,21622,527
2070,17,380,1848,259,10929,121
1104,84,2156,2137,1655,22103,501
1744,26,647,1976,450,14816,197
1779,14,405,1970,284,11479,121
2636,1986,42015,1782,24154,246603,17861
4159,108,1556,595,1216,23381,340
737,93,1502,2206,1052,44812,450
3655,632,10257,1151,7560,98610,2697
1604,7,517,2016,308,55483,209
1633,66,2015,2003,1550,42035,465
3573,42,619,1283,458,20051,161
215,683,7298,2278,4875,367114,2423
2914,26,992,1716,703,27174,289
4115,92,1025,655,724,13335,301
903,296,9386,2167,6522,73917,2864
955,296,7501,2159,5116,77339,2385
485,205,6343,2246,5296,28949,1047
4331,150,6776,264,5215,29471,1561
781,1251,26264,2195,14167,115172,12097
904,1360,41727,2167,26464,106529,15263
503,27,865,2244,681,28126,184
1642,27,2020,2000,1399,21619,621
1830,478,18380,1957,11686,141305,6694
1015,80,4790,2152,3256,48649,1534
164,183,1982,2283,1575,74829,407
1214,298,6871,2114,4802,71339,2069
534,65,2059,2239,1500,30660,559
889,154,4441,2168,3068,76424,1373
507,171,5714,2243,3995,45737,1719
2571,473,7069,1788,4367,35837,2702
3862,35,295,915,217,6437,78
4278,5,51,387,36,3667,15
1422,74,5836,2059,3895,56004,1941
1833,131,3695,1956,2435,19886,1260
2106,213,10830,1831,6264,93962,4566
1225,11,293,2112,231,31112,62
949,86,1719,2160,1214,16823,505
1973,875,35779,1891,23819,217447,11960
1997,191,6224,1878,4062,49070,2162
4153,73,664,600,579,12168,85
314,2299,47101,2266,34118,426624,12983
907,107,5027,2166,3610,46743,1417
402,104,2316,2258,1546,39609,770
4210,48,509,507,358,15364,151
493,29,1931,2245,1568,37736,363
591,197,4799,2230,3640,35602,1159
3906,763,13681,891,10164,118411,3517
1753,61,1614,1974,1099,41843,515
278,38,560,2271,302,23281,258
1075,138,2638,2142,1721,72650,917
1906,175,4825,1926,3397,34707,1428
1925,4,327,1917,212,9354,115
677,54,2705,2218,1933,42512,772
704,22,640,2212,472,22824,168
3329,123,2710,1511,2040,53297,670
283,3,61,2270,24,13419,37
2027,7,223,1869,170,15755,53
4318,10,124,306,109,5163,15
1372,14,602,2076,420,17979,182
143,4,29,2285,21,17835,8
544,15,778,2237,580,30280,198
848,78,8397,2178,5577,76316,2820
2038,16,729,1867,476,20116,253
641,22,590,2223,420,12847,170
3803,1538,23347,975,17052,172600,6295
1332,38,998,2089,707,18249,291
3797,132,1686,981,1339,34744,347
666,636,29843,2220,22416,196101,7427
343,61,761,2263,496,25355,265
3295,3570,159095,1556,114047,798831,45048
3359,235,5717,1478,4367,61503,1350
3410,82,926,1426,692,13842,234
751,11,599,2204,448,21823,151
1639,8,172,2001,113,10934,59
799,15,821,2190,655,40315,166
686,19069,716523,2217,457496,3875501,259027
1893,22,867,1934,642,24457,225
224,7,69,2277,51,6158,18
1032,44,1857,2149,1387,34348,470
355,439,7828,2262,4777,79080,3051
1947,17,318,1906,196,18869,122
2041,197,7423,1866,4805,42395,2618
1573,21,1030,2024,723,18742,307
57,21,310,2289,211,59654,99
3287,172,3726,1562,2405,50904,1321
1172,126,3010,2125,1966,22108,1044
2053,160,3012,1855,1782,35601,1230
661,462,10538,2221,7894,113248,2644
1792,125,3045,1965,1965,37194,1080
1361,2582,48558,2081,31798,146322,16760
