Mod,likes,downloads,time,unique_dl,views,dl_dif
43530,61,1407,345,1045,5658,362
15485,2,208,2926,171,5964,37
43501,19,437,359,299,5523,138
29969,15,211,2201,176,3996,35
1419,127,3317,3739,2925,21427,392
5408,6,43,3519,33,4082,10
43449,32,281,396,237,3884,44
42980,8,137,794,84,2207,53
42599,6,63,941,48,2108,15
43507,16,221,355,175,2759,46
42501,12,209,1026,177,2737,32
42300,403,5972,1201,4463,48048,1509
43376,12,143,437,105,1846,38
42085,3,29,1399,22,1477,7
10741,9,336,3219,277,5379,59
27696,23,905,2323,774,8933,131
37590,4,137,1808,120,2292,17
43831,1,16,165,14,291,2
23383,5,363,2527,299,9649,64
43700,0,21,248,13,417,8
32639,10,193,2067,163,7773,30
37538,28,484,1811,400,4646,84
43783,1,9,203,6,662,3
42458,9,183,1065,129,2118,54
28889,24,1203,2255,918,10662,285
1031,10,292,3918,205,10484,87
43243,2,70,557,58,1069,12
43011,3,39,769,28,1510,11
33153,8,310,2046,258,7261,52
7096,14,295,3441,268,18195,27
34851,37,836,1976,682,9228,154
43544,62,906,338,714,6550,192
29388,165,3018,2229,2566,36262,452
42289,2,62,1213,45,2613,17
39343,3,230,1690,200,2946,30
39890,41,1012,1658,864,16097,148
7916,1,146,3388,134,3662,12
42721,80,4703,892,3102,22162,1601
25264,15,485,2442,387,4211,98
1222,4,116,3860,105,3922,11
27266,56,1613,2349,1187,8737,426
27800,14,489,2316,417,9911,72
32912,13,190,2056,164,2719,26
43160,3,83,606,48,3064,35
42574,4,48,966,41,4339,7
42477,8,183,1046,131,7701,52
6166,3,114,3484,85,2032,29
38894,14,221,1719,183,3256,38
43352,68,605,458,494,5771,111
30632,3,114,2165,104,4351,10
12831,18,550,3109,476,5534,74
28849,17,337,2257,292,8660,45
13218,32,736,3077,647,5966,89
23035,52,1017,2545,829,14169,188
42200,22,208,1300,159,32216,49
43401,9,117,419,96,2156,21
43123,23,191,615,158,3241,33
7958,14,2870,3383,1241,6871,1629
6685,10,164,3462,139,2762,25
1566,2,50,3685,44,1861,6
27307,28,441,2347,360,5128,81
947,4,98,3948,85,2992,13
43302,5,82,506,46,1701,36
43663,0,57,262,26,1077,31
3867,247,22106,3586,13401,58348,8705
27262,92,2318,2349,1776,20256,542
43523,18,152,348,122,1546,30
33146,1,57,2046,47,3290,10
1655,4,10312,3666,3412,2278,6900
1818,20,659,3625,581,8711,78
43336,49,867,469,717,6850,150
43817,4,56,175,51,1301,5
43586,10,125,307,88,1868,37
23825,33,529,2507,429,6823,100
1779,13,276,3632,239,4091,37
43474,11,307,381,170,4589,137
7974,9,123,3382,110,2499,13
43811,0,66,178,25,1150,41
42948,6,119,760,77,2725,42
39437,9,188,1685,150,3254,38
27024,6,80,2363,66,2716,14
42867,3,140,831,82,2010,58
955,11,14093,3946,4516,8342,9577
38080,10,244,1775,213,4445,31
43573,13,139,319,104,1156,35
42444,23,302,1080,261,4922,41
41778,41,686,1453,572,12266,114
39139,23,427,1704,334,5115,93
41408,71,1695,1510,1383,16943,312
43555,66,661,331,492,5055,169
21042,2,149,2650,134,3044,15
43032,19,298,751,248,4130,50
42506,20,220,1024,196,5665,24
34530,2,126,1995,113,2643,13
31920,6,126,2102,109,2715,17
23886,8,216,2504,187,8252,29
7517,4,133,3417,123,2823,10
42108,10,296,1394,253,4989,43
949,41,616,3948,529,5964,87
35423,31,622,1946,517,7130,105
43320,46,2428,488,1541,20371,887
26558,7,110,2382,100,3114,10
43641,9,124,273,80,1676,44
42120,118,2301,1390,1787,17304,514
20872,186,3695,2661,2704,17113,991
43390,6,108,424,74,2812,34
22868,4,160,2552,136,6538,24
33917,10,196,2018,165,2653,31
3906,167,2979,3584,2492,33212,487
26530,47,1492,2384,1278,19810,214
38423,351,9080,1750,7550,25963,1530
43269,31,335,534,284,4830,51
43194,3,31,588,23,1521,8
42293,6,153,1211,120,2310,33
7339,24,910,3427,820,13203,90
43235,1,35,561,25,1384,10
42675,39,512,915,371,3412,141
42532,155,2777,1005,2458,16142,319
29223,9,306,2239,233,5351,73
15445,1,102,2927,88,1864,14
14467,3,239,2984,141,4568,98
43455,3,54,395,40,1427,14
5864,5,148,3496,122,6035,26
12795,2,325,3111,189,2790,136
43478,12,153,377,116,2000,37
26870,130,1985,2368,1650,16643,335
9656,7,1695,3273,795,2841,900
1639,4,92,3671,78,1878,14
