Mod,likes,downloads,time,unique_dl,views,dl_dif
15253,8,356,2935,284,5580,72
43530,5,70,1038,53,2718,17
20900,24,859,2658,598,4076,261
16895,54,1787,2857,1263,17506,524
39057,2,34,1709,27,4346,7
24230,2,152,2488,116,4771,36
40329,283,9063,1629,6192,71328,2871
46045,38,532,316,427,6843,105
45856,4,92,402,54,3552,38
2809,32,882,3606,745,18434,137
7215,13,488,3435,278,3934,210
18546,95,4640,2778,3025,24711,1615
6415,149,5456,3474,3978,38451,1478
31632,1,64,2116,56,5615,8
42085,128,2612,1398,1759,39713,853
45144,4,43,639,27,1532,16
37590,2,51,1808,46,1619,5
3786,55,2247,3588,1838,17873,409
5352,5,215,3522,179,4127,36
12847,6,163,3108,130,2387,33
8613,206,8170,3337,5452,74118,2718
30061,11,240,2197,193,5713,47
22102,4,89,2589,70,3800,19
37332,38,1962,1825,1512,22030,450
18737,149,8526,2769,6181,70062,2345
43934,9,106,927,91,3158,15
26250,34,6035,2397,4956,11111,1079
44011,185,1994,915,1629,20205,365
19338,7,407,2743,316,8504,91
34851,5,310,1976,221,4846,89
29527,204,9816,2223,7513,76768,2303
17559,4,235,2821,207,5868,28
22774,48,1404,2557,1063,10871,341
15801,26,1374,2910,996,14853,378
28746,1,61,2262,51,2686,10
8884,42,665,3321,509,7569,156
44699,28,267,796,224,6334,43
19821,6,367,2718,290,12471,77
19827,10,404,2718,340,5079,64
13428,30,1514,3062,1078,22057,436
3583,23,2210,3592,1796,14462,414
4787,28,883,3552,676,7856,207
31252,8,258,2137,198,3110,60
32997,15,689,2053,540,13302,149
15451,1,235,2927,204,3818,31
32912,3,62,2056,56,1852,6
16606,5,175,2873,136,4191,39
34789,5,190,1980,152,4988,38
16767,47,2650,2863,2127,12149,523
32894,11,362,2057,304,14761,58
12913,56,2374,3104,1635,21437,739
4983,65,1632,3543,1257,11045,375
7052,86,2307,3443,1748,12818,559
41489,91,1981,1498,1514,24366,467
34332,3,60,2004,46,2119,14
38187,75,2013,1767,1569,34356,444
23035,7,268,2545,226,7734,42
19482,27,1223,2736,947,16006,276
14958,52,4686,2951,3515,52824,1171
26454,15,479,2387,394,8840,85
15717,2,273,2914,200,10503,73
1566,1,31,3685,28,1701,3
22272,84,4754,2581,3643,38568,1111
12585,77,4236,3123,3364,86882,872
7576,122,4117,3414,3108,45547,1009
28692,32,2682,2265,2046,24674,636
8292,23,693,3358,532,9301,161
46390,4,117,184,100,1643,17
29792,6,370,2210,287,6099,83
1818,7,476,3625,402,6723,74
9927,12,871,3261,674,13700,197
9193,4,224,3302,158,4285,66
45324,3,101,585,53,3292,48
23430,5,130,2525,98,2974,32
14996,82,10456,2949,7757,66142,2699
39393,32,2086,1688,1183,22062,903
15231,3,106,2936,85,2053,21
42948,358,5272,1211,4013,45377,1259
16404,4,542,2881,461,5230,81
7534,20,476,3416,362,8893,114
2283,12,841,3615,624,18122,217
42831,3,263,1240,204,8085,59
21214,4,148,2639,107,2751,41
14834,745,55232,2958,37629,222832,17603
11859,18,392,3162,291,10972,101
45181,3,24,629,10,2004,14
24710,49,1962,2464,1482,22947,480
26804,3,118,2371,99,1561,19
20766,16,1665,2669,1149,10277,516
31103,5,100,2144,86,2786,14
38500,13,538,1745,420,9410,118
46230,5,64,249,42,1170,22
3056,20,340,3602,267,10891,73
19789,17,512,2720,401,6703,111
30010,1,43,2199,39,1883,4
21579,706,39209,2619,28343,236649,10866
40972,140,4739,1570,3579,56157,1160
8883,8,515,3321,405,10739,110
4061,76,1824,3579,1396,12067,428
6631,447,27214,3465,19025,145575,8189
1997,11,1229,3620,505,7912,724
13081,52,2065,3093,1626,35740,439
18017,4,374,2800,299,5950,75
28509,8,295,2276,237,4587,58
8405,246,9670,3350,7389,81684,2281
10796,6,129,3216,103,5861,26
15790,11,410,2910,331,7667,79
44218,72,1150,878,771,26397,379
20471,63,3763,2685,2735,23933,1028
24110,0,96,2493,84,3817,12
43775,31,385,953,297,5104,88
26607,9,779,2381,466,4963,313
36743,41,749,1862,564,29442,185
4415,11,301,3567,250,3202,51
8489,346,9522,3344,7049,37578,2473
45255,4,32,608,23,2133,9
43249,0,11,1123,7,1721,4
32398,5,166,2078,135,4670,31
20587,11,924,2678,690,23330,234
14467,1,74,2984,61,3589,13
38146,16,666,1770,532,10007,134
40412,1306,40502,1620,28302,181970,12200
2667,4,93,3609,72,10022,21
8978,2,41,3315,30,4072,11
26193,11,2671,2399,1961,21424,710
5015,12,296,3541,249,10232,47
3958,234,19984,3583,13699,87580,6285
38066,35,698,1775,549,10965,149
39924,5,207,1656,159,4297,48
36198,22,921,1890,703,10631,218
4016,13,332,3581,252,4247,80
7968,6,294,3382,253,2188,41
18272,34,1326,2789,1100,11710,226
31282,36,601,2135,461,6780,140
