Mod,likes,downloads,time,unique_dl,views,dl_dif
41839,27,668,938,517,13472,151
24409,188,3138,1290,2098,14844,1040
58176,70,1116,565,822,14920,294
4820,23,469,1557,387,27594,82
3100,259,14051,1577,7235,83807,6816
38403,110,1534,992,1283,19023,251
63078,33,929,403,859,9048,70
65590,7,101,333,96,8853,5
6782,14,519,1533,222,8304,297
64044,115,1164,376,1014,8899,150
4253,182,4341,1565,2873,73019,1468
5146,138,5887,1553,4349,19817,1538
60338,23,170,492,127,2864,43
44197,2680,46543,905,39093,186698,7450
16537,124,7630,1428,4587,23111,3043
62033,7,94,433,86,4025,8
59950,9,74,506,61,3038,13
62538,10,109,417,106,4094,3
436,12735,336316,1599,184619,656230,151697
9567,34,1844,1510,584,15634,1260
26479,18,1055,1246,754,16712,301
5953,30,749,1544,471,14793,278
29315,77,1859,1187,1487,46237,372
18893,172,3487,1387,2506,16687,981
55567,101,913,640,883,27983,30
25966,21,548,1257,387,8291,161
8001,15,441,1518,276,13292,165
8067,141,3036,1517,2098,23910,938
4341,171,3997,1564,2781,49317,1216
58448,201,2101,556,1624,13167,477
48594,21,406,847,305,13904,101
23560,603,13099,1308,6592,37332,6507
20366,286,11574,1361,5166,86274,6408
37689,52,1156,1010,973,26552,183
56286,65,864,619,658,16723,206
59280,18,315,529,187,6788,128
3238,32,800,1576,491,8901,309
16921,13,637,1422,446,21025,191
60032,4,75,503,55,7089,20
18832,179,4781,1388,3474,66881,1307
32182,420,7033,1136,3289,27513,3744
31337,16,556,1148,260,7747,296
11120,18,483,1500,324,9183,159
30338,63,1287,1166,837,11267,450
11604,112,3978,1496,2298,27944,1680
8545,28,982,1515,633,13628,349
6245,414,11594,1540,8035,53708,3559
26444,9,136,1246,79,17868,57
33497,2,246,1112,143,4806,103
22088,10,313,1332,194,9175,119
60140,28,511,499,445,10991,66
8019,8,651,1517,482,18218,169
57591,5653,83216,584,58959,238815,24257
1880,58,1217,1588,804,12276,413
14860,226,7311,1454,4439,35779,2872
19349,83,2629,1379,2061,98422,568
33766,5290,98660,1107,66289,434125,32371
56736,145,3044,606,1606,21302,1438
65781,17,198,328,197,5575,1
12175,1743,64027,1490,36435,197179,27592
12200,3,276,1490,164,6146,112
54416,4554,62059,676,42497,229008,19562
15784,58,1881,1441,1181,28363,700
26278,25,547,1250,333,6641,214
27199,13,574,1229,305,16439,269
34641,144,1146,1089,899,12054,247
34000,44,656,1103,468,14716,188
1471,109,2360,1591,1432,38967,928
51849,33,586,758,483,14204,103
28429,324,7404,1204,4835,44973,2569
1305,81,3086,1592,1869,35974,1217
29702,149,4289,1180,2503,39272,1786
25532,95,2246,1267,1599,14268,647
49556,8,64,819,64,6329,0
53609,92,1078,704,977,27109,101
60448,12,73,488,63,4889,10
37055,51,870,1028,748,13479,122
51964,9,127,755,74,8374,53
3293,394,10952,1575,8500,69831,2452
9414,31,1866,1511,1192,42765,674
12849,22,926,1482,535,32687,391
49820,24,434,812,345,5995,89
49525,208,3231,820,2375,55185,856
63072,5,70,404,52,4983,18
29520,8,611,1183,367,19689,244
257,9,348,1601,205,15660,143
23065,547,15518,1316,10484,66912,5034
8934,363,7936,1513,5657,101026,2279
48838,8,293,840,134,2861,159
60712,47,839,478,625,6854,214
31117,47,1164,1152,734,12855,430
54589,586,15708,670,8471,134217,7237
51689,22,232,763,206,15010,26
11476,37,2910,1497,504,19068,2406
39580,61,867,973,648,21288,219
55207,540,6406,650,6199,49115,207
20315,760,18064,1362,8521,58243,9543
18056,2172,65976,1401,37975,466441,28001
40471,36,581,960,505,13802,76
47311,74,2300,868,1652,15048,648
64879,100,1082,351,839,14829,243
23145,61,1177,1315,1033,20577,144
30440,3,73,1164,52,5180,21
1779,1062,45243,1589,27249,300691,17994
4512,32,738,1562,574,19099,164
15116,74,3132,1450,1107,36870,2025
30985,32,419,1154,403,72224,16
9711,40,763,1509,503,11241,260
18949,11,1076,1386,699,46903,377
25913,5,275,1258,160,5813,115
44782,2040,27473,898,19932,119563,7541
31435,58,916,963,732,8198,184
48927,146,2619,837,2327,28361,292
2951,233,4870,1579,3348,57431,1522
28697,398,9062,1198,5189,37400,3873
50216,34,884,802,844,12186,40
2997,24,919,1578,519,19945,400
5014,619,23061,1555,13788,238700,9273
63355,8,164,397,139,6168,25
22562,1066,24837,1325,15137,77716,9700
60523,206,2437,485,2395,48880,42
56088,53,1025,625,926,19977,99
11420,30,1016,1497,487,14206,529
56930,429,6071,601,5545,76628,526
58181,84,903,565,766,31549,137
52975,18,260,720,224,5753,36
69834,5,112,192,86,1312,26
32808,164,4905,1125,3584,35073,1321
29512,2064,37246,1183,19126,109088,18120
39600,230,6118,972,3434,55284,2684
14080,19,798,1464,468,20092,330
15277,153,3069,1448,2253,32993,816
2646,62,2450,1582,1626,49019,824
3366,79,4515,1575,3178,50245,1337
19740,10,327,1372,223,13883,104
35978,77,1253,1057,961,26413,292
14171,25,870,1463,633,22500,237
25989,143,4070,1256,2592,21889,1478
32566,61,1073,1129,690,16271,383
698,5,212,1597,174,9985,38
34250,88,1964,1098,1289,17381,675
54972,53,357,656,300,5900,57
8355,129,2592,1516,1777,21917,815
33800,24,685,1107,517,18802,168
24188,26,1081,1295,745,15272,336
28663,17,373,1199,203,11185,170
17147,15,498,1418,384,11270,114
18985,75,4005,1385,2622,25335,1383
50887,5975,89045,785,64070,301610,24975
11005,4825,166263,1500,89992,559977,76271
9813,77,5885,1509,3071,34528,2814
13306,466,18137,1475,14009,113316,4128
35421,38,1043,1069,717,22729,326
5075,146,6756,1554,4485,57854,2271
27715,14,323,1218,224,6342,99
24894,582,11594,1279,6831,94121,4763
52614,220,2315,732,1409,35282,906
29276,50,1964,1187,1263,27577,701
65898,9,135,325,107,4780,28
34547,7,191,1091,142,3651,49
63752,24,388,386,368,9753,20
61780,94,1239,441,891,16472,348
32750,14,355,1126,171,6434,184
37596,13,385,1013,239,11620,146
61183,19,410,460,321,7667,89
13644,101,3631,1470,2090,44181,1541
68290,4,67,249,55,3051,12
41084,35,597,950,506,10061,91
