Tag_Tuple,Tag1_Count,Tag2_Count,P(Tag1),P(Tag2),P(Tag1 AND Tag2),P(Tag1 OR Tag2)
"('Classes component', 'German')",31,44,0.004243,0.006022,0.000137,0.010266
"('Cheating', 'Companion - Oghren')",106,32,0.014509,0.00438,0.000274,0.018889
"('Replacer', 'Humor, Joke or Just for Fun')",401,16,0.054886,0.00219,0.000411,0.057076
"('Gameplay Effects/Changes', 'Companion - Dog')",257,21,0.035177,0.002874,0.000411,0.038051
"('Fair and balanced', 'Other languages')",44,5,0.006022,0.000684,0.000274,0.006707
"('Companion - Anders (DA2)', 'For DAA')",2,49,0.000274,0.006707,0.000137,0.006981
"('Companion - Isabela', 'Face models')",3,417,0.000411,0.057076,0.000411,0.057487
"('Companion - Sigrun', 'Hair')",11,83,0.001506,0.011361,0.000137,0.012866
"('NPCs', 'Utilities for Modders')",150,36,0.020531,0.004927,0.000411,0.025459
"('Companion - Dog', 'Companion - Leliana')",21,117,0.002874,0.016014,0.001095,0.018889
"('Fair and balanced', 'Companion - Justice')",44,12,0.006022,0.001642,0.000137,0.007665
"('For female characters', 'New models')",271,123,0.037093,0.016835,0.005338,0.053928
"('Chargen', 'Companion - Sten')",136,44,0.018615,0.006022,0.000274,0.024637
"('Companion - Shale', 'Locations - Caverns')",10,6,0.001369,0.000821,0.000137,0.00219
"('Companion - Shale', 'Magic - Potions')",10,9,0.001369,0.001232,0.000137,0.002601
"('Companion - Oghren', 'NPCs')",32,150,0.00438,0.020531,0.001506,0.024911
"('Companion - Nathaniel', 'New Lands')",11,22,0.001506,0.003011,0.000137,0.004517
"('Companions', 'Clothing - Male')",259,25,0.03545,0.003422,0.000684,0.038872
"('Related to Movies/TV/Other Games', 'Saved games')",59,85,0.008076,0.011634,0.000137,0.01971
"('Clothing - Male', 'Non-Playable Resource')",25,21,0.003422,0.002874,0.000137,0.006296
"('Compilation', 'Polish')",6,26,0.000821,0.003559,0.000274,0.00438
"('Humor, Joke or Just for Fun', 'English')",16,509,0.00219,0.069669,0.000821,0.071859
"('English', 'Tutorials for Players')",509,12,0.069669,0.001642,0.000958,0.071311
"('For male characters', 'Nudity')",234,9,0.032028,0.001232,0.000137,0.03326
"('Cheating', 'Other languages')",106,5,0.014509,0.000684,0.000274,0.015193
"('For DAO', 'Plants / Foliage')",213,3,0.029154,0.000411,0.000274,0.029565
"('Companion - Justice', 'User Interface')",12,38,0.001642,0.005201,0.000137,0.006844
"('Hair', 'Plants / Foliage')",83,3,0.011361,0.000411,0.000274,0.011771
"('NPCs', 'Tutorials for Players')",150,12,0.020531,0.001642,0.000137,0.022174
"('For female characters', 'Companion - Nathaniel')",271,11,0.037093,0.001506,0.000274,0.038598
"('Companion - Leliana', 'Environment - Other')",117,18,0.016014,0.002464,0.000274,0.018478
"('Magic - Enchantments', 'Utilities for Modders')",19,36,0.002601,0.004927,0.000137,0.007528
"('French', 'Polish')",21,26,0.002874,0.003559,0.002464,0.006433
"('Items - Clutter', 'NPC Vendors')",20,43,0.002737,0.005886,0.000547,0.008623
"('Hair', 'Items - Furniture')",83,14,0.011361,0.001916,0.000274,0.013277
"('Sexy/Skimpy', 'Russian')",11,32,0.001506,0.00438,0.000137,0.005886
"('Companion - Nathaniel', 'Companion - Loghain')",11,21,0.001506,0.002874,0.000274,0.00438
"('Nudity', 'NPCs')",9,150,0.001232,0.020531,0.000274,0.021763
"('New textures', 'Locations - World Map')",290,18,0.039693,0.002464,0.000547,0.042157
