Tag_Tuple,Tag1_Count,Tag2_Count,Co-Occurency_Count,P1,P2,P12,P1*P2-P12,|d|/std1,|d|/std2
"('English', 'NPC Vendors')",509,43,28,0.069669,0.005886,0.003832,-0.003421928266,1.1488734690741518,3.823688556042072
"('For female characters', 'Utilities for Modders')",271,36,3,0.037093,0.004927,0.000411,-0.00022824278900000002,0.1032282934547863,0.2786237589969526
"('Companions', 'Armor - Shields')",259,79,7,0.03545,0.010813,0.000958,-0.00057467915,0.26564080167789134,0.4749555567590076
"('Scripted Events', 'Polish')",76,26,3,0.010402,0.003559,0.000411,-0.00037397928200000004,0.3150645555654172,0.5367815610096018
"('Scripted Events', 'French')",76,21,2,0.010402,0.002874,0.000274,-0.000244104652,0.20564969075968978,0.3897601984624162
"('New Lands', 'Armor - Shields')",22,79,2,0.003011,0.010813,0.000274,-0.00024144205699999999,0.37666233584866393,0.19954481836947632
"('Clothing - Female', ""Modder's Resource"")",31,84,3,0.004243,0.011497,0.000411,-0.00036221822900000004,0.4763179375739608,0.29042157427412796
"('Compilation', 'Magic - Spells')",6,62,1,0.000821,0.008486,0.000137,-0.000130032994,0.38806115213812165,0.12116926042392671
"('German', 'Utilities for Players')",44,77,5,0.006022,0.010539,0.000684,-0.000620534142,0.6855620263916805,0.5194054146496062
"('German', 'Weapons')",44,227,6,0.006022,0.03107,0.000821,-0.00063389646,0.7003246271663048,0.31227795912910955
"('For DAA', 'Singleplayer Campaign')",49,183,6,0.006707,0.025048,0.000821,-0.000653003064,0.6838363971665034,0.3571715910885218
"('Audio - Sound FX', 'Other languages')",23,5,1,0.003148,0.000684,0.000137,-0.00013484676799999998,0.20575370846460084,0.44086021120852614
"('Compilation', 'Companion - Wynne')",6,46,2,0.000821,0.006296,0.000274,-0.000268830984,0.8022799304418458,0.2905081207205559
"('Companion - Wynne', 'Hair')",46,83,8,0.006296,0.011361,0.001095,-0.001023471144,1.1059985505806036,0.8254452776545932
"('Companion - Anders', 'Armor - Shields')",14,79,2,0.001916,0.010813,0.000274,-0.000253282292,0.4950662978820705,0.20933042727243112
"('New textures', 'Tutorials for Modders')",290,12,1,0.039693,0.001642,0.000137,-7.1824094e-05,0.03144473803620367,0.15162829893804455
"('Races - Modified', 'Creatures')",17,41,8,0.002327,0.005612,0.001095,-0.001081940876,1.9193362315646763,1.2379599485011463
"('Companions', 'Tutorials for Players')",259,12,1,0.03545,0.001642,0.000137,-7.879109999999999e-05,0.03642055043946331,0.16633638935226056
"('For female characters', 'Spanish')",271,26,5,0.037093,0.003559,0.000684,-0.000551986013,0.24964895663319941,0.7922789522698915
"('Companion - Leliana', 'Weapons')",117,227,7,0.016014,0.03107,0.000958,-0.00046044502,0.31352576941957916,0.22683015320319352
"('Companion - Dog', 'Clothing')",21,109,2,0.002874,0.014919,0.000274,-0.000231122794,0.3690321561697568,0.16295841228110758
"('For female characters', 'Not Lore-Friendly')",271,24,12,0.037093,0.003285,0.001642,-0.001520149495,0.6875241879602391,2.270768962074107
"('New Lands', 'Creatures')",22,41,5,0.003011,0.005612,0.000684,-0.000667102268,1.0407147024713324,0.7633003869781494
"('Not Lore-Friendly', 'Utilities for Players')",24,77,1,0.003285,0.010539,0.000137,-0.000102379385,0.15293228105452578,0.08569457072274464
"('Companion - Loghain', 'Magic - Enchantments')",21,19,1,0.002874,0.002601,0.000137,-0.000129524726,0.20681122829052057,0.21736412930338717
"('For DAA', 'Clothing - Male')",49,25,4,0.006707,0.003422,0.000547,-0.000524048646,0.5487930421420263,0.7670360691696074
"('Companion - Justice', 'Clothing')",12,109,1,0.001642,0.014919,0.000137,-0.000112503002,0.23750579880177008,0.07932281479246166
"('Hair', 'Utilities for Modders')",83,36,4,0.011361,0.004927,0.000547,-0.000491024353,0.3960187209706539,0.5994101789209496
"('New Lands', 'Clothing')",22,109,3,0.003011,0.014919,0.000411,-0.000366078891,0.5711023667635023,0.25811229526322116
"('Animation - New', 'Magic - Enchantments')",29,19,1,0.003969,0.002601,0.000137,-0.000126676631,0.17221039443179068,0.21258455007580143
"('Polish', 'Armor - Shields')",26,79,1,0.003559,0.010813,0.000137,-9.8516533e-05,0.1414031763636413,0.08142104125577228
"('Unbalanced', 'English')",6,509,5,0.000821,0.069669,0.000684,-0.000626801751,1.8705822435746735,0.21044155403493858
"('Audio - Sound FX', 'New Lands')",23,22,4,0.003148,0.003011,0.000547,-0.0005375213719999999,0.8201680864014498,0.8385616742243818
"('Related to Movies/TV/Other Games', 'New textures')",59,290,11,0.008076,0.039693,0.001506,-0.001185439332,1.1320922370009472,0.5189878100314398
"('Companion Friendly', 'Animation - Modified')",61,37,2,0.008349,0.005064,0.000274,-0.000231720664,0.21767469300770736,0.2790359610778168
"('Chargen', 'Polish')",136,26,1,0.018615,0.003559,0.000137,-7.074921499999999e-05,0.044741468184329274,0.101548069360441
"('Companion - Sten', 'Clothing')",44,109,4,0.006022,0.014919,0.000547,-0.00045715778199999994,0.5050649016644214,0.32232955057073553
"('Replacer', 'Skills')",401,54,5,0.054886,0.007391,0.000684,-0.00027833757400000007,0.10445729678265848,0.2777608075035746
"('Companion Friendly', 'Companion - Loghain')",61,21,2,0.008349,0.002874,0.000274,-0.00025000497399999997,0.23485068196529016,0.39918120152348097
"('Companion - Anders', 'Singleplayer Campaign')",14,183,3,0.001916,0.025048,0.000411,-0.00036300803200000004,0.7095365455066879,0.19855367228009368
