Tag_Tuple,Tag1_Count,Tag2_Count,P(Tag1),P(Tag2),P(Tag1 AND Tag2),P(Tag1 OR Tag2)
"('Czech', 'Spanish')",10,15,0.007027,0.010541,0.007027,0.017569
"('Compilation', 'Other languages')",4,11,0.002811,0.00773,0.001405,0.010541
"('Face models', ""Modder's Resource"")",127,20,0.089248,0.014055,0.004216,0.103303
"('New models', 'Non-Playable Resource')",37,14,0.026001,0.009838,0.001405,0.03584
"('Performance Optimization', 'New textures')",3,198,0.002108,0.139143,0.000703,0.141251
"('Official', 'Japanese')",10,14,0.007027,0.009838,0.007027,0.016866
"('New models', 'Japanese')",37,14,0.026001,0.009838,0.002811,0.03584
"('New models', 'Czech')",37,10,0.026001,0.007027,0.000703,0.033029
"('New models', 'Spanish')",37,15,0.026001,0.010541,0.002811,0.036543
"('Performance Optimization', 'French')",3,15,0.002108,0.010541,0.000703,0.012649
"('Tutorials for Modders', 'Utilities for Players')",8,14,0.005622,0.009838,0.001405,0.01546
"('Official', 'Performance Optimization')",10,3,0.007027,0.002108,0.000703,0.009136
"('Nudity', 'English')",11,200,0.00773,0.140548,0.003514,0.148278
"('Tutorials for Players', 'User Interface')",9,13,0.006325,0.009136,0.000703,0.01546
"('Audio - Music', 'Utilities for Players')",2,14,0.001405,0.009838,0.000703,0.011244
"('Anime', 'Italian')",3,14,0.002108,0.009838,0.000703,0.011947
"('Official', 'Czech')",10,10,0.007027,0.007027,0.007027,0.014055
"('Performance Optimization', 'German')",3,14,0.002108,0.009838,0.000703,0.011947
"('Saved games', 'Tutorials for Players')",29,9,0.020379,0.006325,0.001405,0.026704
"('New models', ""Modder's Resource"")",37,20,0.026001,0.014055,0.002108,0.040056
"('Body models', 'Sexy/Skimpy')",15,6,0.010541,0.004216,0.000703,0.014758
"('Italian', 'Non-Playable Resource')",14,14,0.009838,0.009838,0.002108,0.019677
"('New textures', 'Utilities for Players')",198,14,0.139143,0.009838,0.000703,0.148981
"('Quests', 'Saved games')",2,29,0.001405,0.020379,0.000703,0.021785
"('Performance Optimization', 'English')",3,200,0.002108,0.140548,0.001405,0.142656
"('Saved games', 'Spanish')",29,15,0.020379,0.010541,0.000703,0.030921
"('Environment - Other', ""Modder's Resource"")",9,20,0.006325,0.014055,0.000703,0.020379
"('New textures', 'Tutorials for Modders')",198,8,0.139143,0.005622,0.000703,0.144765
"('Official', 'Face models')",10,127,0.007027,0.089248,0.001405,0.096275
"('Polish', 'Russian')",14,25,0.009838,0.017569,0.009838,0.027407
"('Gameplay Effects/Changes', 'Body models')",118,15,0.082923,0.010541,0.000703,0.093465
"('Audio - Sound FX', ""Modder's Resource"")",1,20,0.000703,0.014055,0.000703,0.014758
"('Face models', 'Italian')",127,14,0.089248,0.009838,0.004216,0.099086
"(""Modder's Resource"", 'Tutorials for Players')",20,9,0.014055,0.006325,0.002811,0.020379
"('Anime', 'Japanese')",3,14,0.002108,0.009838,0.000703,0.011947
"('Humor, Joke or Just for Fun', 'Saved games')",2,29,0.001405,0.020379,0.000703,0.021785
"('Body models', 'Nudity')",15,11,0.010541,0.00773,0.001405,0.018271
"('English', 'Utilities for Players')",200,14,0.140548,0.009838,0.004919,0.150387
"('Italian', 'Polish')",14,14,0.009838,0.009838,0.009838,0.019677
"('Humor, Joke or Just for Fun', 'Utilities for Modders')",2,5,0.001405,0.003514,0.000703,0.004919
"('Face models', 'Japanese')",127,14,0.089248,0.009838,0.004216,0.099086
"('Saved games', 'English')",29,200,0.020379,0.140548,0.009136,0.160928
