Tag_Tuple,Tag1_Count,Tag2_Count,Co-Occurency_Count,P1,P2,P12,P1*P2-P12,|d|/std1,|d|/std2,|d|/std1+std2
"('English', ""Modder's Resource"")",200,20,13,0.140548,0.014055,0.009136,-0.0071605978599999995,0.7771924735305556,2.294615722452326,0.7361152026848289
"('Official', 'Italian')",10,14,10,0.007027,0.009838,0.007027,-0.006957868374,3.1421358811414954,2.65932932126351,2.029904715920461
"('Saved games', 'Utilities for Players')",29,14,3,0.020379,0.009838,0.002108,-0.0019075113980000001,0.5092711964017135,0.7290596370436239,0.4174990296573739
"('Face models', 'Saved games')",127,29,4,0.089248,0.020379,0.002811,-0.000992215008,0.13128313189721078,0.2649035412012231,0.11763004196272395
"('German', 'Italian')",14,14,14,0.009838,0.009838,0.009838,-0.009741213755999999,3.7231367386637837,3.7231367386637837,2.6326552351939285
"('Official', 'Face models')",10,127,2,0.007027,0.089248,0.001405,-0.000777854304,0.35127481399790345,0.10292038355142989,0.09876833317978981
"('Czech', 'English')",10,200,10,0.007027,0.140548,0.007027,-0.006039369204,2.7273466032011133,0.6554972618195631,0.6373476458724221
"('Environment - Sky', 'Environment - Water')",1,1,1,0.000703,0.000703,0.000703,-0.000702505791,0.9998328563279963,0.9998328563279963,0.7069885927626414
"('New textures', 'Utilities for Modders')",198,5,1,0.139143,0.003514,0.000703,-0.000214051498,0.023330526119802738,0.13645336254445461,0.02299680905164855
"('Scripted Events', 'English')",1,200,1,0.000703,0.140548,0.000703,-0.000604194756,0.8599128667821571,0.06557771098038322,0.06538784786678774
"('French', 'German')",15,14,14,0.010541,0.009838,0.009838,-0.009734297642,3.595565984491483,3.7204933680564687,2.5854864652014333
"('Face models', 'Utilities for Players')",127,14,2,0.089248,0.009838,0.001405,-0.000526978176,0.06972616300796727,0.20141348467290834,0.06588963505043058
"('Face models', 'French')",127,15,6,0.089248,0.010541,0.004216,-0.003275236832,0.4333570300219232,1.2097770766205267,0.4079720988447931
"('German', 'Spanish')",14,15,14,0.009838,0.010541,0.009838,-0.009734297642,3.7204933680564687,3.595565984491483,2.5854864652014333
"('Face models', 'Italian')",127,14,6,0.089248,0.009838,0.004216,-0.0033379781760000003,0.4416585373296622,1.2757906243735577,0.41735725280384656
"('Tutorials for Players', 'Utilities for Players')",9,14,2,0.006325,0.009838,0.001405,-0.00134277465,0.6389297893324957,0.5132146523406405,0.40011993947150165
"('Gameplay Effects/Changes', 'Italian')",118,14,4,0.082923,0.009838,0.002811,-0.001995203526,0.27292872729780693,0.7625759720329172,0.2569664400035355
"('New textures', 'Saved games')",198,29,1,0.139143,0.020379,0.000703,0.002132595197,0.23244204507540683,0.5693645178505705,0.21519952344540388
"('Performance Optimization', 'New textures')",3,198,1,0.002108,0.139143,0.000703,-0.000409686556,0.33695902197787075,0.04465375381624298,0.044266750102977113
"('Tutorials for Players', 'User Interface')",9,13,1,0.006325,0.009136,0.000703,-0.0006452147999999999,0.30701127418380164,0.255812463687151,0.196530105907111
"('Face models', 'New models')",127,37,11,0.089248,0.026001,0.00773,-0.005409462752,0.7157432675759977,1.2822783320514595,0.6249743755675344
"('Japanese', 'Spanish')",14,15,14,0.009838,0.010541,0.009838,-0.009734297642,3.7204933680564687,3.595565984491483,2.5854864652014333
"('English', 'Tutorials for Modders')",200,8,6,0.140548,0.005622,0.004216,-0.0034258391440000003,0.37183157751623297,1.7284158615145633,0.3635149257828626
"('Official', 'Spanish')",10,15,10,0.007027,0.010541,0.007027,-0.006952928393,3.1399050123296828,2.5682092064466002,1.987933707295967
"('Humor, Joke or Just for Fun', 'Tutorials for Players')",2,9,1,0.001405,0.006325,0.000703,-0.0006941133749999999,0.6990367485239773,0.3302785858085849,0.29862461366970494
"('New models', 'New textures')",37,198,25,0.026001,0.139143,0.017569,-0.013951142857000002,3.3070286298341807,1.5206037139078463,1.3815537768343873
"('Compilation', 'French')",4,15,2,0.002811,0.010541,0.001405,-0.001375369249,0.9799470224784673,0.5080213354565101,0.4510169254916634
"('New models', 'Saved games')",37,29,2,0.026001,0.020379,0.001405,-0.0008751256209999999,0.20744289647183387,0.23364278319686477,0.15512371194334337
"('Face models', 'Tutorials for Players')",127,9,2,0.089248,0.006325,0.001405,-0.0008405064,0.11121008217167563,0.3999364875443652,0.10714484548940399
"('Face models', 'Non-Playable Resource')",127,14,4,0.089248,0.009838,0.002811,-0.0019329781760000003,0.25575850676332235,0.7387931568248518,0.2416859604013032
"('Performance Optimization', 'German')",3,14,1,0.002108,0.009838,0.000703,-0.000682261496,0.5611464741970176,0.2607634843829121,0.23647759205748273
"('Official', 'Russian')",10,25,10,0.007027,0.017569,0.007027,-0.006903542637,3.117602670922254,1.982211133505,1.672732539738037
"('Quests', 'English')",2,200,1,0.001405,0.140548,0.000703,-0.0005055300599999999,0.5091158046385882,0.054868904169330095,0.05455300211583075
"('Russian', 'Spanish')",25,15,14,0.017569,0.010541,0.009838,-0.009652805171,2.7716056647439857,3.5654650396163725,2.1882291882948572
"('Czech', 'German')",10,14,10,0.007027,0.009838,0.007027,-0.006957868374,3.1421358811414954,2.65932932126351,2.029904715920461
"('Sexy/Skimpy', 'Tutorials for Modders')",6,8,1,0.004216,0.005622,0.000703,-0.0006792976479999999,0.3954847010600182,0.3427215289862822,0.2590012502216649
"('Scripted Events', 'Skills')",1,29,1,0.000703,0.020379,0.000703,-0.0006886735629999999,0.9801463054015854,0.1838634409875441,0.18071138937360529
"('Audio - Music', 'Non-Playable Resource')",2,14,1,0.001405,0.009838,0.000703,-0.00068917761,0.6940659739483132,0.2634068549902275,0.24626822871681311
"('Anime', 'Other languages')",3,11,1,0.002108,0.00773,0.000703,-0.0006867051599999999,0.5648012992175346,0.295779508700375,0.2620239326236142
"('Tutorials for Modders', 'Utilities for Players')",8,14,2,0.005622,0.009838,0.001405,-0.001349690764,0.6809505136056991,0.5158580229479558,0.4111903261460793
"('Compilation', 'Russian')",4,25,2,0.002811,0.017569,0.001405,-0.001355613541,0.965871131770841,0.3892367143933577,0.3610237507162576
"('New textures', ""Modder's Resource"")",198,20,7,0.139143,0.014055,0.004919,-0.002963345135,0.3229895689592785,0.9496048333907708,0.3057855566451046
