Tag_Tuple,Tag1_Count,Tag2_Count,P(Tag1),P(Tag2),P(Tag1 AND Tag2),P(Tag1 OR Tag2)
"('New textures', 'English')",227,298,0.14856,0.195026,0.066754,0.343586
"('Compilation', 'Saved games')",7,249,0.004581,0.162958,0.000654,0.167539
"('Compilation', 'New textures')",7,227,0.004581,0.14856,0.001309,0.153141
"('Face models', 'Skills')",107,6,0.070026,0.003927,0.000654,0.073953
"('New models', 'Non-Playable Resource')",65,6,0.042539,0.003927,0.000654,0.046466
"('Saved games', 'English')",249,298,0.162958,0.195026,0.058246,0.357984
"('New models', 'Skills')",65,6,0.042539,0.003927,0.001309,0.046466
"('Face models', 'Nudity')",107,2,0.070026,0.001309,0.000654,0.071335
"('New models', 'English')",65,298,0.042539,0.195026,0.027487,0.237565
"('Sexy/Skimpy', 'Utilities for Players')",11,27,0.007199,0.01767,0.000654,0.024869
"('Compilation', 'Utilities for Players')",7,27,0.004581,0.01767,0.000654,0.022251
"('Performance Optimization', 'Environment - Other')",2,11,0.001309,0.007199,0.000654,0.008508
"('New textures', 'Saved games')",227,249,0.14856,0.162958,0.001309,0.311518
"('Gameplay Effects/Changes', 'Non-Playable Resource')",57,6,0.037304,0.003927,0.001309,0.04123
"('New models', 'Sexy/Skimpy')",65,11,0.042539,0.007199,0.001963,0.049738
"('Saved games', ""Modder's Resource"")",249,23,0.162958,0.015052,0.003927,0.17801
"('Sexy/Skimpy', 'English')",11,298,0.007199,0.195026,0.002618,0.202225
"('English', 'Spanish')",298,4,0.195026,0.002618,0.001309,0.197644
"(""Modder's Resource"", 'Utilities for Players')",23,27,0.015052,0.01767,0.002618,0.032723
"('Environment - Weather', 'English')",2,298,0.001309,0.195026,0.000654,0.196335
"('New models', ""Modder's Resource"")",65,23,0.042539,0.015052,0.001963,0.057592
"('Body models', 'Saved games')",22,249,0.014398,0.162958,0.002618,0.177356
"('English', 'Non-Playable Resource')",298,6,0.195026,0.003927,0.001309,0.198953
"('Humor, Joke or Just for Fun', 'Sexy/Skimpy')",5,11,0.003272,0.007199,0.000654,0.010471
"('English', 'Polish')",298,8,0.195026,0.005236,0.005236,0.200262
"('Body models', 'New textures')",22,227,0.014398,0.14856,0.004581,0.162958
"('Gameplay Effects/Changes', 'Nudity')",57,2,0.037304,0.001309,0.000654,0.038613
"('Anime', 'Utilities for Players')",3,27,0.001963,0.01767,0.000654,0.019634
"('Performance Optimization', 'English')",2,298,0.001309,0.195026,0.000654,0.196335
"('Skills', 'English')",6,298,0.003927,0.195026,0.000654,0.198953
"('Non-Playable Resource', 'Tutorials for Modders')",6,9,0.003927,0.00589,0.000654,0.009817
"('Non-Playable Resource', 'Utilities for Players')",6,27,0.003927,0.01767,0.001963,0.021597
