Tag_Tuple,Tag1_Count,Tag2_Count,Co-Occurency_Count,P1,P2,P12,P1*P2-P12,|d|/std1,|d|/std2,|d|/std1+std2
"('Body models', 'Translation')",22,5,1,0.014398,0.003272,0.000654,-0.000606889744,0.19914508980163656,0.4154095711807883,0.17957628285266458
"('Face models', 'Skills')",107,6,1,0.070026,0.003927,0.000654,-0.00037900789799999993,0.05805570110468219,0.23688300440401572,0.05638695119525422
"('Sexy/Skimpy', ""Modder's Resource"")",11,23,2,0.007199,0.015052,0.001309,-0.001200640652,0.5551464043215466,0.3854525870039562,0.3166167455703378
"('English', 'User Interface')",298,7,3,0.195026,0.004581,0.001963,-0.001069585894,0.10552130667940669,0.6191476585771298,0.10402139847310875
"('English', 'Tutorials for Players')",298,14,10,0.195026,0.009162,0.006545,-0.004758171788,0.46942326679080987,1.9521146650037877,0.4564125922566431
"('New textures', 'Sexy/Skimpy')",227,11,2,0.14856,0.007199,0.001309,-0.0002395165600000001,0.026325052912389936,0.11074650590746951,0.025611422472693678
"('Gameplay Effects/Changes', 'Official')",57,2,2,0.037304,0.001309,0.001309,-0.001260169064,0.2599370621180025,1.3624014578049035,0.2553313067623194
"('Scripted Events', 'English')",3,298,2,0.001963,0.195026,0.001309,-0.0009261639620000001,0.8179298999898837,0.09137184027748256,0.09080699015484567
"('Audio - Sound FX', 'Scripted Events')",1,3,1,0.000654,0.001963,0.000654,-0.000652716198,0.9980200221231554,0.5764379920365732,0.4991599388440661
"('Tutorials for Modders', 'Utilities for Modders')",9,8,1,0.00589,0.005236,0.000654,-0.0006231599599999999,0.3183364356389816,0.33752144287766683,0.23158330628219492
"('Spanish', ""Modder's Resource"")",4,23,1,0.002618,0.015052,0.000654,-0.000614593864,0.47014769688183417,0.19730865720808327,0.1819362344332877
"('Nudity', 'Unrealistic')",2,5,1,0.001309,0.003272,0.000654,-0.0006497169519999999,0.702425847334845,0.444724339284944,0.37574674997002067
"('Translation', 'Tutorials for Players')",5,14,1,0.003272,0.009162,0.000654,-0.0006240219359999999,0.4271363742821222,0.25601479451032694,0.2195914169044962
"('Environment - Water', 'English')",2,298,1,0.001309,0.195026,0.000654,-0.0003987109659999999,0.43105676598421977,0.03933531879556416,0.03917255902636067
"('New models', 'Tutorials for Modders')",65,9,3,0.042539,0.00589,0.001963,-0.0017124452899999999,0.3316837522092365,0.8747894037437229,0.3101391112859222
"('Gameplay Effects/Changes', 'Utilities for Players')",57,27,9,0.037304,0.01767,0.00589,-0.00523083832,1.0789732776006853,1.5519795531675598,0.8859126043548181
"('Compilation', 'Gameplay Effects/Changes')",7,57,1,0.004581,0.037304,0.000654,-0.00048311037599999994,0.2796565098816802,0.09965193988936355,0.09387034700600126
"('Performance Optimization', 'Environment - Other')",2,11,1,0.001309,0.007199,0.000654,-0.0006445765089999999,0.6968683810892182,0.29803616151544815,0.2740268955890542
"('Face models', 'Italian')",107,4,3,0.070026,0.002618,0.001963,-0.0017796719319999998,0.2726067248038833,1.3614009332755788,0.26730054982806134
"(""Modder's Resource"", 'Utilities for Modders')",23,8,6,0.015052,0.005236,0.003927,-0.003848187728,1.235418701310537,2.084289681286151,1.0627567170407834
"('Gameplay Effects/Changes', 'Nudity')",57,2,1,0.037304,0.001309,0.000654,-0.000605169064,0.12482917814340301,0.6542639702604451,0.12261736328678013
