tag_tuple,tag1_count,tag2_count,ratio
"('Video', 'Items - Leveled')",11,15,0.7333333333333333
"('Animation - New', 'Books')",7,38,0.18421052631578946
"('New models', 'Scripted Events')",100,23,4.3478260869565215
"('Animation - Modified', 'Magic - Potions')",17,14,1.2142857142857142
"('Races - Modified', 'Scripted Events')",31,23,1.3478260869565217
"('Armor - Shields', 'Utilities for Modders')",74,26,2.8461538461538463
"('Other languages', 'Creatures')",30,46,0.6521739130434783
"('Races - Modified', 'Clothing - Male')",31,47,0.6595744680851063
"('Races - New', 'Nudity')",22,64,0.34375
"('Lore-Friendly', 'Nudity')",322,64,5.03125
"('Environment - Sky', 'Utilities for Modders')",21,26,0.8076923076923077
"('Races - Modified', 'Polish')",31,23,1.3478260869565217
"('Classes component', 'Locations - Player-Owned')",4,51,0.0784313725490196
"('Performance Optimization', 'Locations - Buildings')",33,55,0.6
"('New textures', 'SKSE (Skyrim Script Extender)')",340,27,12.592592592592593
"('Locations - Player-Owned', 'SKSE (Skyrim Script Extender)')",51,27,1.8888888888888888
"('Compilation', 'Locations - Buildings')",16,55,0.2909090909090909
"('Translation', 'Other languages')",110,30,3.6666666666666665
"('Video', 'SKSE (Skyrim Script Extender)')",11,27,0.4074074074074074
"('French', 'Items - Leveled')",41,15,2.7333333333333334
"('Environment - Other', 'Hearthfire')",62,12,5.166666666666667
"('Races - New', 'Magic - Potions')",22,14,1.5714285714285714
"('Races - Modified', 'German')",31,57,0.543859649122807
"('Companion Friendly', 'Animation - Modified')",137,17,8.058823529411764
"('Items - Leveled', 'Dawnguard')",15,33,0.45454545454545453
"('Audio - Sound FX', 'Creatures - Rideable')",40,5,8.0
"('Audio - Music', 'Translation')",26,110,0.23636363636363636
"('Animation - New', ""Modder's Resource"")",7,68,0.10294117647058823
"('Audio - Music', 'Clothing')",26,85,0.3058823529411765
"('Chargen', 'Items - Furniture')",26,19,1.368421052631579
"('Sexy/Skimpy', 'French')",103,41,2.5121951219512195
"('Unbalanced', 'Czech')",32,8,4.0
"('Compilation', 'Face models')",16,37,0.43243243243243246
"('Races - New', 'English')",22,459,0.04793028322440087
"('Companions', 'Czech')",85,8,10.625
"('Audio - Music', 'English')",26,459,0.05664488017429194
"('Tutorials for Players', 'Utilities for Modders')",18,26,0.6923076923076923
"('Environment - Water', 'French')",10,41,0.24390243902439024
"('Faction: Thieves Guild', 'Replacer')",3,255,0.011764705882352941
"('Not Lore-Friendly', 'Polish')",76,23,3.3043478260869565
"('For male characters', 'Related to horses')",180,16,11.25
"('Not Safe For Work', 'Clothing - Female')",39,86,0.45348837209302323
"('Video', 'User Interface')",11,39,0.28205128205128205
"('Polish', 'Russian')",23,28,0.8214285714285714
"('Related to vampires', 'Animation - Modified')",23,17,1.3529411764705883
"('Video', 'Locations - Dungeons')",11,29,0.3793103448275862
"('Armor - Shields', 'Clothing - Female')",74,86,0.8604651162790697
"('Polish', 'Spanish')",23,45,0.5111111111111111
"('Animation - New', 'Items - Clutter')",7,46,0.15217391304347827
"('Creatures', 'Utilities for Players')",46,63,0.7301587301587301
"('Cheating', 'Audio - Voices')",50,22,2.272727272727273
"('Clothing - Female', 'NPC Vendors')",86,33,2.606060606060606
"('New textures', 'Italian')",340,29,11.724137931034482
"('French', 'SKSE (Skyrim Script Extender)')",41,27,1.5185185185185186
"('Not Lore-Friendly', 'SKSE (Skyrim Script Extender)')",76,27,2.814814814814815
"('Races - New', 'Unrealistic')",22,57,0.38596491228070173
"('Environment - Water', 'Quests')",10,25,0.4
"('Video', 'Locations - Player-Owned')",11,51,0.21568627450980393
"('Spanish', 'Tutorials for Modders')",45,12,3.75
"('Dawnguard', 'SKSE (Skyrim Script Extender)')",33,27,1.2222222222222223
"('Locations - World Map', 'Magic - Potions')",34,14,2.4285714285714284
"('Clothing', 'Magic - Potions')",85,14,6.071428571428571
"('For male characters', 'NPC Vendors')",180,33,5.454545454545454
"('Cheating', 'Tutorials for Players')",50,18,2.7777777777777777
"('Replacer', 'Locations - Player-Owned')",255,51,5.0
"('Spanish', 'Dawnguard')",45,33,1.3636363636363635
"('Related to Movies/TV/Other Games', 'Animation - New')",64,7,9.142857142857142
