Tag_Tuple,Tag1_Count,Tag2_Count,Co-Occurency_Count,P(Tag1),P(Tag2),P(Tag1 AND Tag2),P(Tag1 OR Tag2)
"('Clothing', 'Tutorials for Players')",85,18,1,0.010766,0.00228,0.000127,0.013046
"('Gameplay Effects/Changes', 'Face models')",168,37,3,0.021279,0.004687,0.00038,0.025966
"('Clothing - Female', 'Magic - Enchantments')",86,39,5,0.010893,0.00494,0.000633,0.015833
"('Replacer', 'NPCs')",255,115,27,0.032299,0.014566,0.00342,0.046865
"('Related to Movies/TV/Other Games', 'Books')",64,38,2,0.008106,0.004813,0.000253,0.01292
"('Clothing', 'Dawnguard')",85,33,4,0.010766,0.00418,0.000507,0.014946
"('Environment - Other', 'User Interface')",62,39,1,0.007853,0.00494,0.000127,0.012793
"('Lore-Friendly', 'NPC Vendors')",322,33,23,0.040785,0.00418,0.002913,0.044965
"('Guilds / Factions', 'Locations - Caverns')",20,13,3,0.002533,0.001647,0.00038,0.00418
"('Items - Furniture', 'Locations - Dungeons')",19,29,1,0.002407,0.003673,0.000127,0.00608
"('Weapons', ""Modder's Resource"")",176,68,8,0.022293,0.008613,0.001013,0.030906
"('Chargen', 'Saved games')",26,98,4,0.003293,0.012413,0.000507,0.015706
"('Gameplay Effects/Changes', 'Classes component')",168,4,3,0.021279,0.000507,0.00038,0.021786
"('Unrealistic', 'Clothing')",57,85,8,0.00722,0.010766,0.001013,0.017986
"('Audio - Sound FX', 'Italian')",40,29,1,0.005066,0.003673,0.000127,0.00874
"('Environment - Water', 'Locations - Dungeons')",10,29,1,0.001267,0.003673,0.000127,0.00494
"('Audio - Music', 'Clothing - Male')",26,47,1,0.003293,0.005953,0.000127,0.009246
"('Items - Clutter', 'Locations - Dungeons')",46,29,4,0.005826,0.003673,0.000507,0.0095
"('Spanish', 'Utilities for Players')",45,63,3,0.0057,0.00798,0.00038,0.01368
"('Not Safe For Work', 'Items - Leveled')",39,15,1,0.00494,0.0019,0.000127,0.00684
"('Races - New', 'Lore-Friendly')",22,322,8,0.002787,0.040785,0.001013,0.043572
"('Body models', 'Quests')",31,25,1,0.003927,0.003167,0.000127,0.007093
"('Clothing - Female', 'Dragonborn')",86,41,3,0.010893,0.005193,0.00038,0.016086
"('Humor, Joke or Just for Fun', 'Tutorials for Players')",58,18,1,0.007346,0.00228,0.000127,0.009626
"('Unrealistic', 'English')",57,459,19,0.00722,0.058138,0.002407,0.065358
"('Gameplay Effects/Changes', 'Body models')",168,31,5,0.021279,0.003927,0.000633,0.025206
"('New Lands', 'Locations - Dungeons')",18,29,7,0.00228,0.003673,0.000887,0.005953
"('For male characters', 'Body models')",180,31,8,0.022799,0.003927,0.001013,0.026726
"('Creatures - Rideable', 'Tutorials for Players')",5,18,1,0.000633,0.00228,0.000127,0.002913
"('Scripted Events', 'User Interface')",23,39,2,0.002913,0.00494,0.000253,0.007853
"('Clothing - Male', 'Magic - Potions')",47,14,4,0.005953,0.001773,0.000507,0.007726
"('Saved games', 'NPCs')",98,115,1,0.012413,0.014566,0.000127,0.026979
"('Audio - Music', 'Audio - Sound FX')",26,40,11,0.003293,0.005066,0.001393,0.00836
"('Items - Ingredients', 'Utilities for Modders')",21,26,1,0.00266,0.003293,0.000127,0.005953
"('Sexy/Skimpy', 'Utilities for Modders')",103,26,1,0.013046,0.003293,0.000127,0.016339
"('Performance Optimization', 'Related to vampires')",33,23,1,0.00418,0.002913,0.000127,0.007093
"('Companion Friendly', 'Quests')",137,25,5,0.017353,0.003167,0.000633,0.020519
"('New Lands', 'Items - Ingredients')",18,21,2,0.00228,0.00266,0.000253,0.00494
"('New models', 'Items - Apparatus')",100,22,2,0.012666,0.002787,0.000253,0.015453
"('Official', 'Lighting')",11,38,1,0.001393,0.004813,0.000127,0.006206
"('Items - Furniture', 'Locations - Player-Owned')",19,51,3,0.002407,0.00646,0.00038,0.008866
"('Magic - Enchantments', 'NPC Vendors')",39,33,5,0.00494,0.00418,0.000633,0.00912
"('NPC Vendors', 'Dawnguard')",33,33,3,0.00418,0.00418,0.00038,0.00836
"('Clothing - Female', 'Locations - World Map')",86,34,1,0.010893,0.004307,0.000127,0.015199
"('Related to horses', 'Tutorials for Modders')",16,12,1,0.002027,0.00152,0.000127,0.003547
"('Replacer', 'Unrealistic')",255,57,11,0.032299,0.00722,0.001393,0.039519
"('Performance Optimization', 'Books')",33,38,2,0.00418,0.004813,0.000253,0.008993
"('Races - New', 'Magic - Potions')",22,14,1,0.002787,0.001773,0.000127,0.00456
"('Related to vampires', 'Nudity')",23,64,1,0.002913,0.008106,0.000127,0.01102
"('New textures', 'Scripted Events')",340,23,9,0.043065,0.002913,0.00114,0.045978
"('Unrealistic', 'Creatures')",57,46,2,0.00722,0.005826,0.000253,0.013046
"('Related to vampires', 'Environment - Weather')",23,14,1,0.002913,0.001773,0.000127,0.004687
"('Italian', 'Items - Apparatus')",29,22,2,0.003673,0.002787,0.000253,0.00646
"('Guilds / Factions', 'Humor, Joke or Just for Fun')",20,58,3,0.002533,0.007346,0.00038,0.00988
"('Animation - Modified', 'Humor, Joke or Just for Fun')",17,58,1,0.002153,0.007346,0.000127,0.0095
"('Clothing - Female', ""Modder's Resource"")",86,68,6,0.010893,0.008613,0.00076,0.019506
"('New textures', 'NPCs')",340,115,24,0.043065,0.014566,0.00304,0.057631
"('Face models', 'Races - Modified')",37,31,7,0.004687,0.003927,0.000887,0.008613
"('Czech', 'Items - Apparatus')",8,22,1,0.001013,0.002787,0.000127,0.0038
"('Replacer', 'Body models')",255,31,11,0.032299,0.003927,0.001393,0.036225
"('German', 'Items - Apparatus')",57,22,4,0.00722,0.002787,0.000507,0.010006
"('Humor, Joke or Just for Fun', 'Polish')",58,23,1,0.007346,0.002913,0.000127,0.01026
"('New textures', 'Czech')",340,8,3,0.043065,0.001013,0.00038,0.044079
"('German', 'Clothing - Male')",57,47,3,0.00722,0.005953,0.00038,0.013173
"('Related to Movies/TV/Other Games', 'English')",64,459,25,0.008106,0.058138,0.003167,0.066244
"('Items - Leveled', 'Tutorials for Modders')",15,12,1,0.0019,0.00152,0.000127,0.00342
"('Other languages', 'NPC Vendors')",30,33,1,0.0038,0.00418,0.000127,0.00798
"('Companions', 'Tutorials for Players')",85,18,1,0.010766,0.00228,0.000127,0.013046
"('For male characters', 'Magic - Enchantments')",180,39,6,0.022799,0.00494,0.00076,0.027739
"('Related to vampires', 'New Lands')",23,18,1,0.002913,0.00228,0.000127,0.005193
"('Clothing - Male', 'Magic - Spells')",47,80,7,0.005953,0.010133,0.000887,0.016086
"('English', 'NPC Trainers')",459,8,6,0.058138,0.001013,0.00076,0.059151
"('Locations - Player-Owned', 'NPC Trainers')",51,8,3,0.00646,0.001013,0.00038,0.007473
"('Magic - Enchantments', 'Magic - Spells')",39,80,18,0.00494,0.010133,0.00228,0.015073
"('Compilation', 'English')",16,459,11,0.002027,0.058138,0.001393,0.060165
"('Unrealistic', 'Utilities for Players')",57,63,4,0.00722,0.00798,0.000507,0.015199
"('Unrealistic', 'Armor - Shields')",57,74,1,0.00722,0.009373,0.000127,0.016593
"('Locations - Caverns', 'Tutorials for Players')",13,18,1,0.001647,0.00228,0.000127,0.003927
"('Classes component', 'Utilities for Players')",4,63,1,0.000507,0.00798,0.000127,0.008486
"('Chargen', 'Tutorials for Modders')",26,12,1,0.003293,0.00152,0.000127,0.004813
"('Official', 'New textures')",11,340,1,0.001393,0.043065,0.000127,0.044459
"('Companion Friendly', 'Tutorials for Players')",137,18,2,0.017353,0.00228,0.000253,0.019633
"('Scripted Events', 'Utilities for Modders')",23,26,1,0.002913,0.003293,0.000127,0.006206
"('Fair and balanced', 'Sexy/Skimpy')",292,103,11,0.036985,0.013046,0.001393,0.050032
"('Companion Friendly', 'Faction: College of Winterhold')",137,8,2,0.017353,0.001013,0.000253,0.018366
"('Quests', ""Modder's Resource"")",25,68,2,0.003167,0.008613,0.000253,0.01178
"('Not Lore-Friendly', 'Magic - Potions')",76,14,1,0.009626,0.001773,0.000127,0.0114
"('Leveled Lists', 'Utilities for Modders')",21,26,1,0.00266,0.003293,0.000127,0.005953
"('Companion Friendly', 'Japanese')",137,21,5,0.017353,0.00266,0.000633,0.020013
"('Video', 'User Interface')",11,39,1,0.001393,0.00494,0.000127,0.006333
"('Sexy/Skimpy', 'French')",103,41,4,0.013046,0.005193,0.000507,0.018239
"('Companion Friendly', 'Hair')",137,13,4,0.017353,0.001647,0.000507,0.018999
