Tag_Tuple,Tag1_Count,Tag2_Count,Co-Occurency_Count,P1,P2,P12,P1*P2-P12,|d|/std1,|d|/std2
"('Replacer', 'New textures')",255,340,162,0.032299,0.043065,0.020519,-0.019128043565,9.613499017390081,8.372269005595118
"('English', 'Creatures')",459,46,26,0.058138,0.005826,0.003293,-0.0029542880119999997,1.121773607353772,3.4491529929039206
"('Leveled Lists', 'NPC Vendors')",21,33,5,0.00266,0.00418,0.000633,-0.0006218812,1.0728056646618511,0.8564557550760898
"('Related to horses', 'Quests')",16,25,1,0.002027,0.003167,0.000127,-0.00012058049099999999,0.23821376045122325,0.19068559226043202
"('Related to horses', 'Related to vampires')",16,23,1,0.002027,0.002913,0.000127,-0.00012109534899999999,0.23923089232107436,0.1996488261458311
"('New Lands', 'Magic - Spells')",18,80,4,0.00228,0.010133,0.000507,-0.00048389676,0.9014819156267813,0.42931032853495504
"('Locations - Caverns', 'Utilities for Modders')",13,26,1,0.001647,0.003293,0.000127,-0.000121576429,0.2664014515561891,0.18855837664479352
"('Items - Furniture', 'Locations - Caverns')",19,13,1,0.002407,0.001647,0.000127,-0.000123035671,0.22309629996487895,0.26959898079906364
"('Plants / Foliage', ""Modder's Resource"")",15,68,3,0.0019,0.008613,0.00038,-0.0003636353,0.7419562110820926,0.34965783931973116
"('New models', 'Items - Clutter')",100,46,9,0.012666,0.005826,0.00114,-0.001066207884,0.8471614178380957,1.2448055501761135
"('Compilation', 'Plants / Foliage')",16,15,1,0.002027,0.0019,0.000127,-0.0001231487,0.2432874064319373,0.25127082780930593
"('Audio - Music', 'Audio - Sound FX')",26,40,11,0.003293,0.005066,0.001393,-0.001376317662,2.1345932449971663,1.7225229677584302
"('Guilds / Factions', 'Utilities for Players')",20,63,1,0.002533,0.00798,0.000127,-0.00010678666,0.18876705797773943,0.1066427684012887
"('Lore-Friendly', 'Hearthfire')",322,12,7,0.040785,0.00152,0.000887,-0.0008250067999999999,0.3706170383675217,1.8816641742502493
"('Czech', 'Magic - Enchantments')",8,39,3,0.001013,0.00494,0.00038,-0.00037499578,1.0474126303213849,0.4752414790939367
"('For male characters', 'English')",180,459,66,0.022799,0.058138,0.00836,-0.007034511737999999,4.1875516348246435,2.6710766100853385
