Tag_Tuple,Tag1_Count,Tag2_Count,P(Tag1),P(Tag2),P(Tag1 AND Tag2),P(Tag1 OR Tag2)
"('Chargen', 'Magic - Potions')",108,230,0.001692,0.003603,6.3e-05,0.005295
"('Environment - Weather', 'Books')",101,430,0.001582,0.006736,0.000282,0.008319
"('Other languages', 'Utilities for Modders')",28,236,0.000439,0.003697,0.00011,0.004136
"('Leveled Lists', 'Plants / Foliage')",150,226,0.00235,0.003541,0.000141,0.00589
"('Fair and balanced', 'Not Safe For Work')",449,35,0.007034,0.000548,3.1e-05,0.007582
"('Chargen', 'Animation - Modified')",108,148,0.001692,0.002319,1.6e-05,0.004011
"('Gameplay Effects/Changes', 'German')",1345,396,0.021071,0.006204,0.000736,0.027275
"('Lighting', 'Knight of The Nine')",159,80,0.002491,0.001253,3.1e-05,0.003744
"('Animation - New', 'Other languages')",206,28,0.003227,0.000439,3.1e-05,0.003666
"('Tutorials for Modders', 'Utilities for Players')",95,368,0.001488,0.005765,0.000219,0.007253
"('Leveled Lists', 'Magic - Spells')",150,614,0.00235,0.009619,0.000392,0.011969
"('Video', 'Locations - Buildings')",128,839,0.002005,0.013144,0.000204,0.015149
"('Related to horses', 'Russian')",194,228,0.003039,0.003572,4.7e-05,0.006611
"('Performance Optimization', 'Clothing - Female')",162,452,0.002538,0.007081,9.4e-05,0.009619
"('Related to horses', 'Leveled Lists')",194,150,0.003039,0.00235,4.7e-05,0.005389
"('Races - Modified', 'Items - Leveled')",253,166,0.003964,0.002601,0.000141,0.006564
"('English', 'Magic - Enchantments')",6911,358,0.108269,0.005608,0.004136,0.113877
"('Items - Leveled', 'Weapons')",166,1765,0.002601,0.027651,0.001582,0.030251
"('Official', 'Spanish')",43,93,0.000674,0.001457,7.8e-05,0.002131
"('Birthsigns', 'Other languages')",67,28,0.00105,0.000439,1.6e-05,0.001488
"('Performance Optimization', 'Face models')",162,258,0.002538,0.004042,6.3e-05,0.00658
"('ENB Preset', 'Related to Movies/TV/Other Games')",8,478,0.000125,0.007488,1.6e-05,0.007614
"('Clothing - Male', 'OBMM (Oblivion Mod Manager)')",226,116,0.003541,0.001817,0.000157,0.005358
"('Creatures', 'NPCs')",461,1098,0.007222,0.017201,0.001958,0.024423
"('French', 'Magic - Potions')",170,230,0.002663,0.003603,9.4e-05,0.006266
"('Related to Movies/TV/Other Games', 'Scripted Events')",478,562,0.007488,0.008804,0.000486,0.016293
"('Items - Apparatus', 'Shivering Isles')",186,708,0.002914,0.011092,0.000564,0.014006
"('Compilation', 'Locations - Player-Owned')",192,1130,0.003008,0.017703,0.000298,0.020711
"('Body models', 'Guilds / Factions')",144,247,0.002256,0.00387,9.4e-05,0.006125
"('Items - Apparatus', 'Items - Ingredients')",186,319,0.002914,0.004997,0.001567,0.007911
"('Body models', 'Czech')",144,8,0.002256,0.000125,1.6e-05,0.002381
"('Races - New', 'Other languages')",515,28,0.008068,0.000439,3.1e-05,0.008507
"('Scripted Events', 'Tutorials for Players')",562,40,0.008804,0.000627,6.3e-05,0.009431
"('Environment - Sky', 'OBMM (Oblivion Mod Manager)')",105,116,0.001645,0.001817,4.7e-05,0.003462
"('Leveled Lists', 'Unrealistic')",150,81,0.00235,0.001269,4.7e-05,0.003619
"('Items - Leveled', 'Tutorials for Modders')",166,95,0.002601,0.001488,3.1e-05,0.004089
