Tag_Tuple,Tag1_Count,Tag2_Count,Co-Occurency_Count,P1,P2,P12,P1*P2-P12,|d|/std1,|d|/std2,|d|/std1+std2
"('Face models', 'OBMM (Oblivion Mod Manager)')",258,116,5,0.004042,0.001817,7.8e-05,-7.0655686e-05,0.2813504904641919,0.4191638253555811,0.2336058371125707
"('Audio - Music', 'Utilities for Players')",203,368,9,0.00318,0.005765,0.000141,-0.00012266730000000002,0.5504604245724941,0.40935853779124226,0.32848286286495776
"('Animation - Modified', 'Items - Leveled')",148,166,7,0.002319,0.002601,0.00011,-0.00010396828100000001,0.5461021224044587,0.5157217517509168,0.37495067320909575
"('Plants / Foliage', 'Non-Playable Resource')",226,237,6,0.003541,0.003713,9.4e-05,-8.0852267e-05,0.3438893665354059,0.33585879167720145,0.24027695587454975
"('Nudity', 'Armor - Shields')",225,780,11,0.003525,0.01222,0.000172,-0.0001289245,0.54959391727747,0.29647560541241436,0.26093102415417196
"('German', 'Knight of The Nine')",396,80,2,0.006204,0.001253,3.1e-05,-2.3226388e-05,0.07473368307603563,0.16588137375727222,0.0681378630262687
"('Items - Ingredients', 'User Interface')",319,226,2,0.004997,0.003541,3.1e-05,-1.3305623000000003e-05,0.047674656242907634,0.056592875309593095,0.036461323269957394
"('Not Safe For Work', 'Items - Apparatus')",35,186,2,0.000548,0.002914,3.1e-05,-2.9403128e-05,0.31742527946445587,0.13781664638576027,0.12641580440850053
"('Companion Friendly', 'Cheating')",368,396,6,0.005765,0.006204,9.4e-05,-5.8233939999999994e-05,0.19433508790217874,0.18737467126739096,0.13488748202740525
"('Anime', 'Items - Furniture')",88,322,1,0.001379,0.005044,1.6e-05,-9.044324e-06,0.06157619623338441,0.03225565470415716,0.028572798293287214
"('Robert Male Bodybase', 'Items - Ingredients')",223,319,6,0.003494,0.004997,9.4e-05,-7.6540482e-05,0.32772457544518685,0.2742480504683214,0.21032159679355206
"('Companions', 'Magic - Spells')",705,614,55,0.011045,0.009619,0.000862,-0.000755758145,1.8269679850542617,1.9563022302368052,1.3352448083017832
"('Body models', 'Spanish')",144,93,1,0.002256,0.001457,1.6e-05,-1.2713007999999999e-05,0.06769996376782737,0.08420820010019252,0.05276273306504418
"('Clothing - Female', 'COBL (Common Oblivion)')",452,118,5,0.007081,0.001849,7.8e-05,-6.4907231e-05,0.19557264094879775,0.38172071575459415,0.17405755619950497
"('ENB Preset', 'Environment - Other')",8,346,1,0.000125,0.00542,1.6e-05,-1.5322499999999998e-05,0.3462748857521475,0.05272654955964803,0.052125731257378065
"('Compilation', 'Not Lore-Friendly')",192,262,2,0.003008,0.004105,3.1e-05,-1.865216e-05,0.08605252250166757,0.07370297214170649,0.05597757106292442
"('Robert Male Bodybase', 'Items - Leveled')",223,166,2,0.003494,0.002601,3.1e-05,-2.1912106e-05,0.09382140598435128,0.10869228174381158,0.07102209961330871
"('Unbalanced', 'EC/HGEC Bodybase')",69,878,4,0.001081,0.013755,6.3e-05,-4.8130845e-05,0.3700536809649885,0.10440468990119706,0.10048209061496251
"('Companions', 'Hair')",705,178,23,0.011045,0.002789,0.00036,-0.00032919549500000004,0.7957964253089066,1.5770858021572363,0.7104700887607197
"('Animation - New', 'Locations - Caverns')",206,284,13,0.003227,0.004449,0.000204,-0.000189643077,0.8448091398517739,0.7199349542427285,0.5479550767873563
"('Audio - Music', 'Items - Apparatus')",203,186,14,0.00318,0.002914,0.000219,-0.00020973348,0.9411634596006163,0.9830506757109287,0.6798289992718177
"('New models', 'Tutorials for Players')",1961,40,2,0.030721,0.000627,3.1e-05,-1.1737933000000005e-05,0.017185761335842077,0.118471333232994,0.017007744605527644
"('Companion Friendly', 'Saved games')",368,481,3,0.005765,0.007535,4.7e-05,-3.5607249999999963e-06,0.011882654786375174,0.010402995999561,0.007827200147654973
"('Compilation', 'Humor, Joke or Just for Fun')",192,256,4,0.003008,0.004011,6.3e-05,-5.0934912e-05,0.23499035291357448,0.2036015988971656,0.15387788217744158
"('Quests', 'German')",636,396,50,0.009964,0.006204,0.000783,-0.000721183344,1.8345204661031973,2.3204937190497112,1.4391135077232857
"('Items - Leveled', 'Non-Playable Resource')",166,237,1,0.002601,0.003713,1.6e-05,-6.342486999999998e-06,0.03146111943600775,0.026346571334213278,0.020199214117045897
"('Robert Male Bodybase', 'Locations - Player-Owned')",223,1130,13,0.003494,0.017703,0.000204,-0.000142145718,0.6086275375545879,0.27233795000929506,0.24858634049314976
"('Cheating', 'Translation')",396,32,2,0.006204,0.000501,3.1e-05,-2.7891796000000002e-05,0.08974519166240738,0.3149094266797544,0.08630870535483111
"('Nudity', 'User Interface')",225,226,3,0.003525,0.003541,4.7e-05,-3.4517975e-05,0.1471471217397452,0.14681548207961787,0.1039312768673531
"('BAB Bodybase', 'Italian')",72,81,1,0.001128,0.001269,1.6e-05,-1.4568567999999999e-05,0.10965454115755202,0.10339059037934988,0.07522520554520125
"('Poses', 'User Interface')",49,226,2,0.000768,0.003541,3.1e-05,-2.8280512e-05,0.25792457107041566,0.12028564835389151,0.10901364299738278
"('Czech', 'OBSE (Oblivion Script Extender)')",8,819,2,0.000125,0.012831,3.1e-05,-2.9396125e-05,0.664326306146572,0.06599078652118522,0.06566759687601129
"('Leveled Lists', 'Clothing - Male')",150,226,6,0.00235,0.003541,9.4e-05,-8.567865e-05,0.4470630805383007,0.36441744637919377,0.2824646489057805
"('Lighting', 'Races - New')",159,515,10,0.002491,0.008068,0.000157,-0.000136902612,0.6938821014559025,0.38664025184565637,0.33774644368506607
"('Companion Friendly', 'German')",368,396,14,0.005765,0.006204,0.000219,-0.00018323394000000002,0.6114781832821642,0.5895771310086326,0.42442542593821847
"('Guilds / Factions', 'Italian')",247,81,3,0.00387,0.001269,4.7e-05,-4.2088969999999994e-05,0.17126713448218425,0.2986980914499452,0.14857653965989787
"('Related to Movies/TV/Other Games', 'Environment - Weather')",478,101,7,0.007488,0.001582,0.00011,-9.8153984e-05,0.28765793402680345,0.6239757581541577,0.2612344030312396
"('Poses', 'Non-Playable Resource')",49,237,1,0.000768,0.003713,1.6e-05,-1.3148415999999998e-05,0.11991648372757147,0.05461827199266017,0.049705331435833
"('Face models', 'Locations - World Map')",258,522,7,0.004042,0.008178,0.00011,-7.694452400000001e-05,0.3063926032213994,0.21585222096348786,0.17645954613647283
"('Animation - Modified', 'New models')",148,1961,29,0.002319,0.030721,0.000454,-0.00038275800099999997,2.0104685265825246,0.5604042598104794,0.5398249397576868
"('TFF/UFF Bodybase', 'Lighting')",156,159,1,0.002444,0.002491,1.6e-05,-9.911995999999998e-06,0.05071788104971814,0.05023831549760715,0.03569219748891803
"('Classes component', 'Czech')",117,8,1,0.001833,0.000125,1.6e-05,-1.5770875e-05,0.09315199902610481,0.35640776236491434,0.09012459955966524
"('Birthsigns', 'Clothing - Male')",67,226,3,0.00105,0.003541,4.7e-05,-4.328195e-05,0.33764437570667427,0.1840913423975745,0.16162873205036274
"('New models', 'Sexy/Skimpy')",1961,267,31,0.030721,0.004183,0.000486,-0.00035749405699999996,0.5234147735026193,1.3994402225388627,0.49024674024286313
"('Robert Female Bodybase', 'Locations - Dungeons')",129,477,2,0.002021,0.007473,3.1e-05,-1.5897067000000004e-05,0.08943188249661398,0.04663560064083932,0.04135106386409959
"('Related to vampires', 'Birthsigns')",250,67,6,0.003917,0.00105,9.4e-05,-8.988715e-05,0.3635735551668859,0.7012135693008791,0.3227675821159833
"('Leveled Lists', 'Books')",150,430,27,0.00235,0.006736,0.000423,-0.00040717039999999997,2.1245765815405835,1.2576564945754762,1.0822531322361608
"('Magic - Enchantments', 'Weapons')",358,1765,171,0.005608,0.027651,0.002679,-0.002523933192,8.53914263134025,3.888934011835027,3.5391823455254743
"('Translation', 'NPC Trainers')",32,173,1,0.000501,0.00271,1.6e-05,-1.464229e-05,0.16531725490817087,0.07115949420890885,0.06536154545450606
"('Anime', 'Items - Ingredients')",88,319,2,0.001379,0.004997,3.1e-05,-2.4109137e-05,0.16414150476360076,0.08638414141060251,0.07644407634997193
"('Related to vampires', 'Items - Leveled')",250,166,6,0.003917,0.002601,9.4e-05,-8.3811883e-05,0.33900044964759796,0.4157384415954985,0.262727437040649
"('Lighting', 'English')",159,6911,108,0.002491,0.108269,0.001692,-0.001422301921,7.208845992275495,1.156490387993058,1.141889511972005
"('Performance Optimization', 'Audio - Music')",162,203,6,0.002538,0.00318,9.4e-05,-8.592916e-05,0.4314851004772848,0.38560074198060745,0.2875194829608557
"('Clothing', 'Locations - Dungeons')",1016,477,103,0.015917,0.007473,0.001614,-0.001495052259,3.018068737135621,4.385882005020716,2.486280586271883
