Mod,likes,downloads,time,unique_dl,views,dl_dif
502,7,519,367,215,9582,304
442,3,110,395,47,5562,63
260,730,9691,436,6019,91962,3672
130,31,1038,458,483,13034,555
507,188,5517,365,2407,28134,3110
953,444,11027,180,5580,48257,5447
347,5,98,416,57,4241,41
961,19,187,178,172,4083,15
632,196,4139,268,1542,53290,2597
70,7,106,467,42,5892,64
83,996,18596,444,13848,153861,4748
714,246,3724,232,2081,32783,1643
188,9,148,448,133,14271,15
422,73,954,400,783,11921,171
618,65,1278,277,976,20316,302
592,9,101,301,81,6003,20
564,125,1207,320,874,31597,333
256,59,1627,437,889,29626,738
1114,88,1796,102,1164,20360,632
414,704,16143,402,11633,78234,4510
220,1,73,443,45,4940,28
436,111,6588,397,881,31350,5707
109,23,946,460,520,19520,426
326,841,12521,420,7269,108659,5252
449,1026,22332,389,13755,122074,8577
282,534,6609,429,4308,46098,2301
1140,34,671,93,531,8631,140
776,76,675,217,582,5996,93
293,16,258,426,139,5496,119
98,3,293,462,125,8540,168
84,417,23352,464,7425,199735,15927
173,30,1205,450,519,14893,686
888,60,939,194,330,13654,609
311,13,649,423,259,10996,390
20,4,46,475,26,3948,20
146,248,2833,456,2231,40747,602
359,361,3937,413,2612,45410,1325
716,54,432,231,385,12916,47
537,14,469,337,235,8282,234
425,72,1615,400,424,25579,1191
289,14,243,426,218,9228,25
798,30,574,211,413,9368,161
547,58,731,332,573,31895,158
913,80,757,189,683,11078,74
416,113,1753,401,1070,28438,683
284,31,293,428,264,10209,29
103,10,416,461,182,7007,234
179,7,152,450,73,4889,79
966,21,198,177,154,7248,44
979,2,35,171,24,2528,11
323,32,574,420,371,14882,203
795,61,613,212,404,9617,209
143,120,4505,456,1831,65987,2674
935,58,1769,183,1322,17959,447
1142,14,122,93,81,3476,41
36,22,679,473,317,11668,362
437,3,47,397,24,4260,23
969,103,1868,175,1453,14149,415
270,82,705,433,556,16081,149
210,4,46,445,40,5361,6
560,286,3582,321,2230,32544,1352
677,132,1338,249,1142,15175,196
981,185,3325,170,2593,31086,732
255,172,2268,437,1007,20151,1261
100,40,328,461,288,22094,40
