Mod,likes,downloads,time,unique_dl,views,dl_dif
260,7,42,2310,28,11347,14
1951,61,1656,1943,1161,31479,495
3741,176,1568,1064,1243,23959,325
1387,325,8608,2106,4723,78805,3885
1611,1473,24725,2052,14566,215464,10159
3329,123,2710,1549,1611,53554,1099
721,269,10606,2249,4239,86226,6367
3763,201,2785,1057,2283,22415,502
413,134,1926,2294,1299,49383,627
618,393,17310,2264,9298,108897,8012
3735,15,211,1078,125,6246,86
57,21,310,2327,215,59738,95
3764,5,98,1056,54,3488,44
1597,16,931,2055,592,36681,339
256,609,7498,2311,4598,81583,2900
226,90,1024,2314,577,37044,447
130,623,4602,2324,3335,48240,1267
220,3459,62691,2315,38251,393372,24440
436,88,4334,2292,3274,66344,1060
1836,899,20809,1993,13959,318134,6850
1009,112,9138,2191,2718,98494,6420
428,1758,73419,2293,33956,311458,39463
1540,149,5363,2071,2376,106816,2987
282,43,599,2309,329,33375,270
1140,265,6340,2168,4672,45911,1668
84,162,1744,2326,1190,29754,554
2124,193,5859,1858,3830,42393,2029
173,0,11,2320,10,17321,1
3875,96,1581,942,1272,33566,309
311,8,274,2305,113,7654,161
1796,37,783,2002,542,16411,241
20,26,312,2330,207,38978,105
68,95,664,2327,433,100711,231
1447,236,5516,2092,3789,30242,1727
3432,513,6473,1453,4728,26109,1745
425,109,3774,2293,2460,66765,1314
1480,328,11135,2086,4641,46593,6494
4089,13,181,746,112,6450,69
1620,64,1873,2047,914,33800,959
3135,1795,48108,1658,19323,322475,28785
89,45,657,2326,473,46425,184
2065,58,1452,1887,1009,22291,443
418,376,10046,2294,7004,51657,3042
3587,55,1294,1298,770,29322,524
336,3930,58568,2302,37766,570645,20802
103,9,109,2325,82,25304,27
966,18,304,2196,208,7173,96
4013,0,0,841,0,31487,0
641,22,590,2261,421,12894,169
935,822,38445,2200,20735,222929,17710
1800,282,11248,2001,4334,101061,6914
1771,98,3470,2009,1724,32847,1746
355,439,7828,2300,4067,79557,3761
36,119,1113,2329,881,194945,232
437,6,377,2292,300,28276,77
270,1,11,2309,7,111136,4
210,65,621,2316,397,60026,224
1493,10,661,2083,265,27892,396
981,39,1755,2195,1151,32841,604
4027,402,5741,791,4112,53621,1629
3695,199,1920,1131,1520,49781,400
2905,59,1174,1759,820,23883,354
197,28,354,2317,168,27101,186
100,29,258,2325,179,55789,79
208,47,340,2316,219,27734,121
4302,23,480,422,327,5585,153
80,223,2197,2326,1489,174448,708
1630,68,1944,2042,1331,29352,613
3943,29,352,894,218,11249,134
1399,3273,120410,2103,61880,753223,58530
3526,117,2483,1364,1632,41738,851
1093,289,7147,2176,4213,47674,2934
1077,1067,24590,2179,11395,119571,13195
1863,3,122,1982,69,5836,53
22,32,601,2330,316,26234,285
257,53,644,2310,546,42718,98
1647,34,2172,2037,728,24098,1444
4021,82,1020,819,529,20830,491
350,209,2406,2300,1473,42963,933
1179,21,666,2161,449,27464,217
3775,59,1049,1051,648,23590,401
3114,169,2787,1667,1574,21723,1213
2075,48,1591,1884,918,25237,673
524,13,1044,2278,397,24757,647
851,4568,177104,2216,56573,759220,120531
1261,38,1158,2141,686,22041,472
207,754,8261,2316,5635,101568,2626
4284,25,391,424,253,4714,138
1189,65,2187,2157,1488,72662,699
1873,48,2116,1979,1308,35220,808
1734,4864,107406,2016,66481,537159,40925
3835,58,795,974,681,14757,114
3790,861,19005,1022,9976,146914,9029
1779,14,405,2008,284,11526,121
305,72,1114,2305,503,119455,611
2134,32,1088,1853,677,14169,411
1510,6,309,2078,208,11340,101
1041,220,7175,2186,3782,71830,3393
3801,676,11992,1014,8856,64387,3136
2951,7,413,1739,147,13086,266
2068,31,1202,1886,761,46154,441
3662,866,11850,1175,7814,45713,4036
54,30,275,2328,212,51830,63
822,406,11423,2223,7543,72195,3880
558,35,2738,2273,2058,60215,680
817,77,2084,2224,1246,41488,838
231,839,12165,2313,8108,263312,4057
366,13,231,2299,129,53140,102
4159,108,1556,633,1239,23796,317
3973,452,8372,873,3668,55548,4704
2455,465,11265,1835,6956,62809,4309
2544,7,315,1828,207,9324,108
532,152,4563,2277,2707,25682,1856
4008,17,228,852,165,18809,63
3613,23,220,1253,188,4962,32
184,627,7632,2319,4557,468009,3075
919,82,2721,2201,1910,16477,811
463,577,42355,2288,14624,190459,27731
1633,66,2015,2041,1277,42232,738
3257,408,8455,1612,5813,57334,2642
514,10,355,2280,293,25265,62
4258,113,1911,476,993,11213,918
1329,165,13953,2128,4958,124854,8995
518,788,22480,2280,12557,79526,9923
1763,305,4957,2011,3475,53212,1482
1043,136,13173,2186,3691,112095,9482
1373,83,5726,2114,3770,47404,1956
157,1829,22165,2322,15502,207079,6663
4223,15,391,532,231,16975,160
4318,10,124,344,115,5290,9
1113,964,52238,2173,22177,328912,30061
1999,35,1291,1914,916,30272,375
3280,23,731,1603,276,10554,455
2090,19,589,1876,402,25231,187
18,151,2607,2330,1704,91220,903
1564,280,7821,2064,4659,74954,3162
885,101,2440,2207,1481,20829,959
485,205,6343,2284,5136,29068,1207
1194,132,2931,2156,2209,27565,722
3328,888,12900,1552,9319,103042,3581
4126,87,975,683,782,29056,193
328,45,927,2303,354,34197,573
3030,106,1927,1704,1564,15854,363
145,14,102,2323,77,27058,25
649,409,26315,2261,11945,169683,14370
4305,3,70,345,56,3981,14
4122,49,429,687,293,17083,136
4396,24,297,98,259,3567,38
1265,45,1722,2141,1259,55160,463
903,296,9386,2205,5577,74357,3809
2132,24,458,1855,295,15786,163
4216,435,8229,529,2873,49647,5356
883,1227,47559,2207,21840,260517,25719
1934,274,6582,1952,4611,49452,1971
421,43,2286,2293,1637,36874,649
1684,230,15390,2026,5543,63420,9847
803,109,8211,2227,2628,34940,5583
280,163,2136,2309,1655,150500,481
46,48,597,2329,396,114789,201
441,274,12072,2292,6134,102820,5938
1508,424,7925,2078,5217,56001,2708
1418,65,2937,2097,1672,34478,1265
1708,574,19318,2021,10487,125877,8831
3337,128,2524,1543,1555,22054,969
4,717,9831,2330,5749,140671,4082
4145,139,1890,648,1335,22561,555
151,1,22,2323,19,20545,3
1321,3428,73743,2129,42739,219202,31004
828,122,8101,2221,2645,77199,5456
3701,178,2447,1123,1736,39594,711
52,25,245,2328,84,38465,161
4317,15,208,347,198,6211,10
1697,47,1740,2024,883,28764,857
4207,14,223,554,130,6525,93
120,352,4408,2324,3397,60782,1011
4133,373,3889,672,2881,27452,1008
1814,9,224,1999,166,8820,58
327,29,377,2303,201,64381,176
3233,38,660,1623,437,26220,223
179,1050,15269,2319,9561,127467,5708
3146,163,2819,1653,1570,24914,1249
4024,49,328,799,242,7370,86
677,54,2705,2256,1638,42607,1067
1882,826,21256,1976,12648,186598,8608
1126,333,15195,2171,8876,144325,6319
669,33,2215,2258,1495,64890,720
37,10,146,2329,87,46608,59
317,578,8657,2304,5664,143521,2993
4375,16,259,180,179,9256,80
259,2391,42745,2310,24287,382802,18458
1554,559,16817,2067,7727,94243,9090
1986,17,507,1919,359,16764,148
150,2,28,2323,19,25664,9
3939,26,239,899,184,9771,55
869,5,386,2210,228,30112,158
922,101,2678,2201,2011,52215,667
1943,35,802,1945,377,17445,425
1406,633,27393,2101,10823,143811,16570
4273,4,151,441,90,3669,61
1227,105,3833,2149,2624,72364,1209
2870,280,7612,1771,4693,73687,2919
2102,75,2216,1870,1348,29359,868
1334,32,1007,2127,678,56197,329
1056,46,1090,2183,762,11950,328
1725,14,805,2019,555,19627,250
3996,163,5841,860,1206,61720,4635
4214,88,860,541,606,11919,254
202,10114,256388,2317,105349,943525,151039
