Mod,likes,downloads,time,unique_dl,views,dl_dif
43218,36,331,472,276,3959,55
41726,5,159,1368,110,3963,49
43620,101,1049,188,747,10050,302
43609,1,35,196,32,1267,3
1209,53,965,3766,888,16507,77
13504,130,2386,2961,1972,31089,414
40026,19,273,1554,210,4207,63
43375,196,4278,343,3154,36886,1124
43798,5,81,91,63,974,18
1727,4,176,3555,144,6575,32
42799,551,7865,763,6346,43864,1519
24238,20,460,2393,396,4260,64
8832,2,44,3228,38,1664,6
1462,8,219,3622,181,3844,38
40085,39,627,1550,542,10264,85
1670,40,855,3567,722,15664,133
8920,10,313,3224,276,11256,37
23335,368,6305,2435,5040,26368,1265
12795,2,325,3016,189,2790,136
1545,148,3192,3595,2823,31412,369
12550,41,696,3031,608,13046,88
30830,37,526,2061,442,4517,84
42153,63,1024,1253,814,13006,210
43352,68,605,363,494,5771,111
1687,0,37,3565,32,1684,5
42177,88,1996,1233,1455,19781,541
42685,80,1283,818,968,10144,315
42924,35,376,726,322,6469,54
3476,1,62,3499,47,1618,15
26733,6,86,2280,69,1715,17
19543,24,464,2639,386,15050,78
35932,24,476,1813,431,4860,45
43530,61,1407,250,1045,5658,362
28275,3,96,2195,81,2410,15
42188,34,535,1220,420,13829,115
43486,52,799,276,606,3544,193
35622,118,2295,1837,1757,16080,538
42196,884,13278,1211,10297,89839,2981
1642,6,212,3575,192,3620,20
3675,2,126,3495,111,2202,15
10290,7,144,3149,134,2313,10
42500,11,216,931,178,2449,38
42595,42,1365,848,943,7777,422
5864,5,148,3401,122,6035,26
21164,24,515,2547,434,5476,81
43165,12,148,359,106,4359,42
20507,22,1222,2587,1031,16419,191
43113,595,8493,570,6573,28452,1920
7785,3,47,3305,41,1815,6
27305,228,4403,2252,3710,27075,693
37051,2,56,1747,44,2796,12
43744,0,27,134,19,727,8
951,10,180,3852,152,4826,28
8443,2,63,3253,51,1910,12
1211,7,212,3766,189,7540,23
1215,9,254,3766,217,8246,37
32887,525,15589,1962,13179,56779,2410
25387,28,850,2341,739,8779,111
43626,4,30,182,23,443,7
39828,3,84,1568,75,4351,9
1744,5,189,3549,156,6944,33
13582,7,132,2955,110,2658,22
4906,22,1139,3451,626,6502,513
4386,2,261,3473,202,3611,59
30205,128,2484,2094,2040,25593,444
23292,15,368,2437,315,4614,53
42981,26,459,698,329,4738,130
1200,614,25867,3767,21313,134020,4554
22684,68,2358,2467,2031,9339,327
23107,69,1619,2446,1413,16076,206
1088,13,458,3806,395,12684,63
43103,74,1018,585,666,8422,352
42071,5,237,1307,202,2994,35
35368,206,4090,1855,3613,17761,477
4009,35,849,3486,678,6815,171
43083,289,3468,606,2807,16257,661
1696,3,140,3564,119,4136,21
43137,5,37,525,23,4131,14
1743,45,851,3549,758,11728,93
1680,1,58,3565,51,1788,7
24298,10,429,2389,347,7727,82
13122,13,256,2995,209,3587,47
5592,152,3123,3416,2674,59558,449
43052,17,221,637,152,2179,69
36744,8,558,1767,368,9593,190
1717,21,368,3558,303,5780,65
1068,17,404,3812,358,7632,46
5446,6,233,3422,207,4066,26
1784,5,139,3535,116,2890,23
42113,159,3413,1299,2898,12527,515
43611,6,48,196,38,1314,10
37977,70,1791,1685,1509,24568,282
13974,16,525,2922,425,4206,100
15504,38,1064,2829,968,17539,96
32101,13,198,1996,174,4256,24
43124,135,1458,547,1184,8833,274
43531,4,81,249,51,1365,30
42169,22,505,1238,422,10203,83
42275,2,58,1128,48,2128,10
15452,4,170,2832,149,2163,21
1227,3,115,3764,94,3339,21
37206,25,545,1737,455,6395,90
9806,0,83,3171,70,4402,13
23743,6,103,2415,94,2642,9
8318,24,611,3261,539,13107,72
28562,347,6693,2177,5529,24134,1164
7626,3,122,3316,111,3897,11
21405,25,544,2534,429,4100,115
4388,4,367,3473,202,6359,165
26530,47,1492,2289,1278,19810,214
30818,9,488,2061,425,9073,63
14679,1,84,2874,74,3055,10
43407,47,694,323,592,5625,102
43023,100,983,662,820,8717,163
43462,16,186,295,118,3205,68
25477,4,172,2338,158,1915,14
43064,31,233,624,193,4652,40
5847,64,1221,3402,1052,9050,169
11325,34,1281,3094,681,9097,600
37427,39,508,1723,414,4571,94
28833,1,57,2163,52,2352,5
7254,9,285,3338,252,3938,33
42584,8,113,851,93,2420,20
43292,4,151,421,92,2309,59
43070,37,436,621,368,5140,68
14414,117,3291,2892,2727,21551,564
25725,328,5852,2325,4941,26497,911
1515,5,99,3610,82,2988,17
30436,7,112,2081,95,1766,17
14006,16,318,2920,262,9905,56
42428,10,176,1005,131,3875,45
43316,130,1363,397,1103,12573,260
1788,4,189,3534,159,2865,30
937,18,2938,3855,1341,11179,1597
6126,7,229,3391,202,5082,27
42935,96,1282,713,965,16331,317
1272,1,55,3747,40,3292,15
19727,15,262,2629,229,3784,33
42420,114,3136,1019,1813,23643,1323
42261,14,271,1140,218,4041,53
1774,3,118,3538,100,2370,18
1602,3,72,3584,68,2657,4
10282,4,64,3149,46,2582,18
1025,4,70,3825,61,3193,9
43800,20,260,91,231,2808,29
27551,5,55,2236,49,1422,6
42120,118,2301,1295,1787,17304,514
43238,211,2986,463,2309,16834,677
35761,7,141,1826,113,4778,28
1034,6,114,3822,104,4033,10
27167,0,134282,2260,107933,256525,26349
43216,50,799,473,614,6075,185
10293,32,637,3149,568,8604,69
43453,9,195,300,151,2482,44
43169,7,95,503,57,2007,38
1286,88,2524,3744,1750,16609,774
30023,17,264,2104,213,4241,51
42444,23,302,985,261,4922,41
42511,55,725,924,577,5929,148
1509,3,95,3612,77,5258,18
42085,3,29,1304,22,1477,7
42473,170,2878,955,2003,22146,875
43272,42,666,436,514,4857,152
11082,1,55,3107,43,2180,12
42427,4,27,1006,24,2032,3
43180,20,247,499,165,3264,82
7958,14,2870,3288,1241,6871,1629
15987,33,498,2808,415,4206,83
42498,11,204,931,161,2528,43
27198,9,159,2258,131,5763,28
30958,38,476,2056,371,6355,105
41280,18,492,1434,413,9196,79
42173,27,702,1235,623,5471,79
17639,11,307,2722,257,2563,50
23870,2,103,2409,93,8177,10
43469,8,68,290,49,4071,19
43026,183,1976,658,1634,19268,342
43667,5,119,166,60,1789,59
20928,24,442,2562,358,6551,84
3919,4,360,3489,315,10226,45
43334,3,98,376,69,3293,29
14661,6,987,2875,865,7069,122
42988,71,966,698,731,5080,235
43199,15,163,488,124,5555,39
19006,52,1042,2664,869,8534,173
15877,1,143,2813,106,3221,37
43779,18,217,111,200,4670,17
19139,8,196,2659,176,2484,20
1555,56,12904,3592,5384,8073,7520
22575,3,63,2471,50,2491,13
1279,2,138,3745,97,8789,41
43801,4,23,90,19,719,4
1730,9,209,3554,189,6166,20
42489,17,215,946,182,3239,33
42901,3,82,735,45,3170,37
1577,6,191,3589,146,7748,45
22532,18,359,2473,303,5518,56
1281,5,129,3745,111,3621,18
25337,7,95,2343,88,1401,7
42597,5,86,846,72,2715,14
15451,10,364,2832,326,5228,38
9871,11,309,3169,283,6348,26
18927,8,272,2667,235,5512,37
43606,34,435,200,354,2949,81
1549,27,535,3594,489,16575,46
38825,11,135,1628,117,3065,18
43616,6,68,193,34,1445,34
19510,10179,268100,2640,199165,1041801,68935
43273,19,141,435,109,1539,32
42213,6,49,1193,37,2655,12
43001,721,13091,684,10544,39475,2547
42518,29,457,919,352,8429,105
43184,39,381,499,294,4347,87
6040,16,638,3393,559,5684,79
42888,5,67,735,57,2633,10
12956,91,2788,3006,2293,21174,495
14627,2,111,2878,89,3213,22
39698,23,301,1575,224,4441,77
991,25,405,3839,357,9152,48
5846,74,1546,3402,1288,16743,258
23440,28,1011,2429,901,9417,110
42093,15,264,1304,220,3222,44
43318,135,1457,395,1133,9984,324
41544,54,1100,1396,896,14063,204
30917,45,1156,2058,970,8010,186
42397,11,263,1034,220,3920,43
1638,7,88,3576,82,2823,6
41803,32,517,1352,468,10074,49
43436,7,100,306,77,2853,23
1600,2,51,3584,43,1975,8
1672,68,1020,3566,914,16517,106
12440,5,218,3035,191,2834,27
42139,325,7951,1273,6775,62348,1176
42164,54,659,1241,518,7948,141
29206,108,1823,2144,1550,10307,273
7960,6,144,3288,126,3703,18
32461,4,95,1980,81,4458,14
43437,14,129,305,99,1316,30
42382,6,106,1038,84,5077,22
42948,6,119,665,77,2725,42
43107,16,924,583,638,5004,286
19743,12,202,2628,169,3110,33
42413,24,193,1023,159,5084,34
43632,5,74,181,49,755,25
43025,21,278,659,201,4008,77
1634,243,5046,3578,4298,23662,748
43535,42,334,246,259,4160,75
1747,5,86,3548,74,2254,12
1049,4,230,3815,209,5711,21
31389,10,323,2034,273,5150,50
8629,13,345,3241,315,7613,30
25411,15,455,2340,397,4715,58
43411,27,410,320,313,6321,97
32606,14,110,1974,95,1767,15
42105,2,95,1302,75,2922,20
43700,0,21,153,13,417,8
