Mod,likes,downloads,time,unique_dl,views,dl_dif
45928,9,119,276,95,4426,24
31869,0,0,2009,0,9929,0
46347,9,105,111,98,2158,7
11976,15,864,3061,636,7057,228
9585,63,2374,3182,1655,23369,719
14749,3,86,2869,73,3449,13
3802,30,905,3492,726,13340,179
39268,12,158,1599,117,2922,41
43145,0,37,1058,30,5193,7
1687,0,23,3565,21,1505,2
41218,6,373,1445,299,9800,74
34677,0,20,1892,16,4341,4
30620,4,594,2071,449,9665,145
23292,6,187,2437,160,2696,27
46083,4,120,208,91,872,29
34153,198,7814,1916,5772,69339,2042
33650,0,133,1933,115,3507,18
17884,19,1379,2713,1036,15632,343
22321,6,131,2485,91,5696,40
25836,14,1715,2321,1272,38429,443
18405,248,11587,2689,8552,68294,3035
9184,5,225,3207,186,2341,39
33433,2,45,1941,41,5264,4
7733,68,2867,3309,2235,32432,632
17600,93,2933,2724,2241,22899,692
9388,1248,83073,3194,56268,445971,26805
13587,44,2091,2954,1543,15504,548
39649,13,444,1578,353,8333,91
12374,30,1649,3039,1376,64443,273
44992,1,107,610,84,3156,23
15122,8,668,2847,464,13046,204
22803,2,90,2461,78,2060,12
42061,83,1521,1308,1118,17874,403
29198,87,2323,2145,1839,12901,484
37027,21,647,1749,528,12181,119
3304,25,619,3502,504,4898,115
30557,38,900,2074,706,7787,194
19543,3,224,2639,186,8888,38
15067,5,271,2850,192,5869,79
2996,162,4253,3508,3215,32436,1038
35173,0,81,1865,73,3002,8
6140,56,3174,3390,2401,114741,773
40697,0,0,1500,0,7826,0
30119,64,1994,2099,1627,14208,367
13962,125,4819,2923,3751,32284,1068
38512,41,1938,1649,1454,12679,484
1642,2,114,3575,99,2607,15
2836,8,802,3511,625,31294,177
40806,120,3176,1488,2279,37393,897
10054,450,25391,3160,18969,131858,6422
14563,39,1291,2882,955,14170,336
37698,3,55,1706,47,3355,8
33511,21,701,1937,536,7146,165
6438,0,19,3378,14,1333,5
29742,193,8351,2118,6331,99633,2020
45987,14,101,251,88,1963,13
16321,44,2221,2791,1591,25610,630
23661,118,8729,2418,5967,43495,2762
