Mod,likes,downloads,time,unique_dl,views,dl_dif
63950,25,269,246,239,5250,30
57940,0,5,440,4,2264,1
62592,92,2066,283,1635,21648,431
38703,26,698,851,443,6915,255
9585,92,1512,1377,949,19105,563
40186,18,239,831,188,6546,51
43145,798,15581,784,12184,219158,3397
1687,5,201,1456,150,9841,51
5183,30,1458,1419,947,13595,511
50978,1214,23434,650,17411,92055,6023
2996,30,1061,1445,748,12952,313
50327,5592,71517,666,48049,218711,23468
3118,20,692,1444,481,21403,211
21584,31,1697,1206,1142,16339,555
631,26,1172,1464,684,32157,488
10771,145,3860,1369,2652,33833,1208
55070,1070,15035,517,12887,129190,2148
57083,1374,26411,464,19272,116763,7139
30620,4197,91129,1028,64995,228556,26134
23292,16,407,1180,275,6558,132
12110,10757,260889,1358,155887,740115,105002
8832,548,14915,1380,9379,71369,5536
66476,2,130,175,104,4634,26
33650,428,15634,976,10981,100431,4653
23535,37,901,1176,753,40115,148
32490,45,1911,997,1245,27828,666
38169,88,1451,865,1196,16585,255
14749,114,3747,1322,2660,30209,1087
53049,3,40,585,32,6290,8
56564,1689,32164,478,24159,179354,8005
25432,22,704,1135,459,13448,245
63040,165,2166,272,1742,24578,424
16741,4163,140661,1292,95581,632879,45080
48125,82,1146,726,982,11105,164
33433,27,364,981,260,5705,104
7733,12,523,1387,350,20814,173
38405,18,521,858,370,13879,151
17600,5,200,1277,133,6202,67
9388,4,265,1378,201,19323,64
18462,4369,150130,1261,92520,501540,57610
13587,13,624,1338,430,12776,194
49441,1,58,689,56,2648,2
20812,1516,73537,1220,43624,243988,29913
12374,13,457,1355,216,5282,241
10297,294,7406,1373,4982,60310,2424
15122,3827,149110,1317,93995,520467,55115
29198,9,305,1056,163,6815,142
53632,2128,25258,570,21878,169748,3380
41280,108,1975,814,1737,26454,238
49549,75,610,686,508,16322,102
63401,411,8598,262,7207,31476,1391
4276,30,841,1432,629,56497,212
4835,81,3160,1424,2317,41842,843
35358,371,6723,938,4854,43045,1869
3304,229,8167,1442,5295,28699,2872
23910,11,180,1169,128,11971,52
30557,240,4279,1029,2837,20979,1442
46523,105,2286,746,1785,27423,501
19543,4,79,1242,61,12799,18
30977,913,34024,1021,24489,254533,9535
41218,677,10536,814,8660,109534,1876
9385,31514,579534,1378,338802,1027570,240732
68513,10,260,109,168,5751,92
58234,21,203,430,139,11670,64
30119,133,3863,1038,2767,16896,1096
13962,134,5868,1333,3609,33992,2259
38512,286,3669,855,2952,25372,717
66719,3,25,167,18,1195,7
59013,6,78,405,52,2503,26
54625,151,2634,535,2194,25685,440
34492,951,16789,960,12623,90687,4166
11672,5,559,1362,246,14023,313
29707,1982,67156,1047,42513,313621,24643
30897,15,550,1023,388,10005,162
10054,13,732,1374,487,18705,245
63678,37,231,255,200,6240,31
3997,34,1788,1435,1306,20926,482
42470,1798,34752,795,26872,254426,7880
61543,88,1278,316,1075,13639,203
37698,45,1007,877,811,15351,196
57188,11,123,461,84,5612,39
60599,160,2492,350,1960,29273,532
56116,17,132,491,84,7822,48
29742,209,2636,1046,1568,20263,1068
6074,33,916,1409,709,20633,207
51155,42,570,644,455,11763,115
16321,1,104,1299,62,7530,42
23661,22,699,1173,537,27996,162
42039,14,177,802,140,11592,37
31909,1551,24309,1007,16937,73329,7372
31435,58,916,830,703,7776,213
9383,17,215,1378,156,8303,59
51677,8,82,630,60,2582,22
36026,36,1071,922,678,55412,393
36138,22,506,919,368,5142,138
37083,23,458,895,343,14826,115
23854,323,7221,1170,4461,37782,2760
54755,209,1734,528,1254,15147,480
55653,39,448,504,368,7676,80
58001,172,3763,438,2712,23326,1051
67808,99,1302,131,1043,13297,259
51208,422,7552,643,5864,93636,1688
15304,37,1002,1315,683,9816,319
28964,228,4309,1060,2939,43423,1370
51881,43,437,624,353,10562,84
53683,9,80,568,72,5255,8
58489,4844,61703,421,47339,172697,14364
6292,108,2370,1407,1515,17036,855
5825,27,1285,1412,759,20085,526
11872,16,846,1360,427,14803,419
29565,3,122,1049,89,2851,33
1567,94,4652,1457,3247,45265,1405
27533,55,1568,1089,974,13914,594
19685,11,257,1240,221,21386,36
56100,14,146,492,135,4995,11
8131,583,9317,1383,5834,44628,3483
59814,27,436,378,279,7672,157
17532,47,1660,1278,1250,33585,410
1200,1533,77705,1460,55837,294981,21868
21039,4,147,1216,110,16467,37
49733,91,1174,681,891,30613,283
1000,23,986,1461,766,24609,220
54971,362,7188,523,6659,54506,529
7276,5,289,1393,208,13471,81
65236,16,191,208,178,9008,13
53898,33,352,561,284,5063,68
41818,26,251,805,163,5959,88
34153,14,243,966,206,7964,37
66802,4,59,164,45,1510,14
