Mod,likes,downloads,time,unique_dl,views
22303,2446,62111,1174,42642,255917
49875,67,774,655,625,11959
56542,108,1757,456,1381,15384
15237,0,0,1293,0,14963
38977,51,627,825,558,11896
64070,18,153,219,102,5901
27323,6,123,1071,110,12009
50585,9,121,636,82,8696
70137,0,40,31,33,2365
26529,3,206,1088,130,6156
28914,25,540,1038,307,4840
29306,18,604,1031,334,7995
27312,0,100,1071,68,5162
57773,47,675,422,485,11872
69424,22,472,55,396,3260
33817,13,1003,950,754,23816
64769,2440,86649,182,65148,299482
43369,12,329,758,241,6506
33953,23,586,948,383,13289
21857,1093,25008,1179,15756,148845
49007,144,1920,679,1507,13963
35490,197,5156,912,3529,90374
57680,37,362,426,282,6295
56587,29,458,455,364,7053
10300,120,7204,1350,4419,41941
8026,1004,105026,1361,53935,380364
4878,27,1048,1401,768,12999
13570,11,436,1315,265,20152
62517,21,410,262,335,4061
31549,524,9097,990,5942,45492
32670,105,2456,972,1668,23107
24291,7,136,1137,84,3826
66925,13,210,137,129,3782
17236,99,2130,1261,1543,39137
37111,137,3027,870,2595,77954
62809,233,1952,254,1645,7472
68162,49,1210,97,970,11261
64500,15,129,206,91,4557
31880,89,1662,984,1104,9268
33385,714,13328,950,9376,109278
38803,41,1244,826,879,14798
56094,116,973,469,776,7565
69568,5,49,50,44,2313
32119,90,2947,981,1993,35983
33052,162,5480,965,3628,28386
22327,495,20680,1173,12855,126749
10686,188,6642,1347,3748,41057
61225,51,503,302,415,8717
6173,3357,249798,1385,145882,814280
29980,6,775,1018,387,8826
11536,234,16678,1340,8399,74820
19990,263,12763,1211,7753,123902
5187,12,403,1396,293,8225
61900,9,82,281,72,5452
12436,311,10035,1331,6328,101596
4352,38,1742,1408,1213,25301
32138,3,125,981,83,4588
66428,994,12068,149,9418,54087
17211,16,760,1261,582,17648
37729,155,2195,853,1746,19354
66340,5,47,156,42,2624
25856,32,636,1103,387,4338
55066,26,242,497,176,4883
12963,248,6707,1324,4108,74018
24632,33,1286,1129,843,18919
35126,424,12529,921,9613,70209
6195,9,955,1385,607,10041
184,235,13096,1446,9400,110067
25479,18,596,1111,502,28587
32091,246,4282,981,2775,19076
28497,16,465,1046,279,4624
57390,12,177,433,126,4158
5446,4,394,1393,289,7191
50221,71,1637,646,957,19121
24472,149,3588,1133,2518,36777
30000,119,2362,1017,2113,36387
15354,153,10138,1291,6513,51505
24555,52,1760,1131,1126,19472
8412,221,4139,1359,2680,32658
34843,137,3087,928,2302,35754
66216,5,144,159,115,1755
15325,411,18502,1292,11742,99420
9428,23,2509,1355,1506,19970
34476,0,0,937,0,2888
20165,9,416,1208,339,25462
31892,112,1507,967,1081,19083
49144,17,535,675,418,5080
5606,76,2458,1392,1562,16028
53628,126,1861,547,1365,28829
7064,16,413,1373,291,10224
24502,10,420,1132,308,15484
52341,39,452,586,385,10986
7457,2,252,1368,169,8856
47415,11,336,711,263,6429
70107,83,1405,30,1482,15478
27880,15,770,1058,494,7145
22730,863,23024,1166,15267,122368
26495,15,724,1089,440,12714
38075,96,3558,844,2855,58073
25865,102,2169,1103,1401,36726
20053,1,51,1210,35,8234
39959,10215,224406,812,168498,897204
50960,134,2522,627,1934,29318
68560,227,3123,83,2665,25815
13708,4,377,1313,231,14065
57234,49,503,437,402,6856
30604,99,764,1005,569,13051
56131,179,1634,468,1312,12291
1849,11,437,1432,331,11865
30638,4576,128129,1005,89643,529502
62092,128,1570,275,1339,23960
