Tag_Tuple,Tag1_Count,Tag2_Count,P(Tag1),P(Tag2),P(Tag1 AND Tag2),P(Tag1 OR Tag2)
"('Companions', 'New Lands')",2791,460,0.019781,0.00326,0.000553,0.023041
"('Faction: College of Winterhold', 'Races - New')",221,438,0.001566,0.003104,5.7e-05,0.004671
"('Weapons', 'Non-Playable Resource')",3646,301,0.025841,0.002133,0.000149,0.027974
"('English', 'Locations - Buildings')",12126,1693,0.085942,0.011999,0.007973,0.097941
"('Quests', 'NPCs')",843,3220,0.005975,0.022822,0.002424,0.028796
"('New textures', 'Non-Playable Resource')",4507,301,0.031943,0.002133,0.000255,0.034076
"('Not Lore-Friendly', 'Locations - World Map')",2051,1159,0.014536,0.008214,0.000369,0.022751
"('Armor - Shields', 'Creatures - Rideable')",1628,275,0.011538,0.001949,0.000369,0.013487
"('For female characters', 'Plants / Foliage')",4508,452,0.03195,0.003204,0.000411,0.035154
"('Locations - World Map', ""Modder's Resource"")",1159,1367,0.008214,0.009689,0.000468,0.017903
"('Body models', 'Not Lore-Friendly')",503,2051,0.003565,0.014536,0.000532,0.018101
"('Face models', 'Creatures - Rideable')",771,275,0.005464,0.001949,0.000106,0.007413
"('For female characters', 'Official')",4508,244,0.03195,0.001729,0.000447,0.033679
"('Birthsigns', 'Lighting')",59,760,0.000418,0.005386,0.000128,0.005805
"('English', 'NPC Vendors')",12126,973,0.085942,0.006896,0.005096,0.092838
"('Gameplay Effects/Changes', 'Japanese')",3718,417,0.026351,0.002955,0.000581,0.029306
"('Clothing - Female', 'User Interface')",1431,594,0.010142,0.00421,0.000128,0.014352
"('Chargen', 'Clothing - Male')",565,1051,0.004004,0.007449,0.000149,0.011453
"('Cheating', 'French')",997,748,0.007066,0.005301,0.00017,0.012368
"('Items - Furniture', 'Plants / Foliage')",706,452,0.005004,0.003204,0.001028,0.008207
"('French', 'Locations - World Map')",748,1159,0.005301,0.008214,0.00039,0.013516
"('Companion Friendly', 'Locations - World Map')",3345,1159,0.023707,0.008214,0.002537,0.031922
"('Poses', 'Tutorials for Players')",122,204,0.000865,0.001446,2.8e-05,0.002311
"('Guilds / Factions', 'Utilities for Modders')",572,478,0.004054,0.003388,9.2e-05,0.007442
"('Video', 'Hearthfire')",253,967,0.001793,0.006854,5e-05,0.008647
"('Birthsigns', 'French')",59,748,0.000418,0.005301,7.1e-05,0.00572
"('Races - New', 'English')",438,12126,0.003104,0.085942,0.002055,0.089046
"('Races - New', 'Clothing - Female')",438,1431,0.003104,0.010142,0.000298,0.013246
"('Guilds / Factions', 'Japanese')",572,417,0.004054,0.002955,0.000113,0.007009
