Tag_Tuple,Tag1_Count,Tag2_Count,Co-Occurency_Count,P1,P2,P12,P1*P2-P12,|d|/std1,|d|/std2,|d|/std1+std2
"('Creatures - Rideable', 'Utilities for Modders')",275,478,15,0.001949,0.003388,0.000106,-9.9396788e-05,0.8465368654477897,0.6425299935071563,0.5118020670570925
"('Performance Optimization', 'Poses')",604,122,22,0.004281,0.000865,0.000156,-0.00015229693499999998,0.8762054780433606,1.9459283040120403,0.7989479759070246
"('Not Lore-Friendly', 'Other languages')",2051,619,28,0.014536,0.004387,0.000198,-0.000134230568,0.42127375216562746,0.7629184948966473,0.3687856572878296
"('Environment - Sky', 'Not Lore-Friendly')",435,2051,31,0.003083,0.014536,0.00022,-0.00017518551200000002,1.1869645142867649,0.5498081328635708,0.49888660289730785
"('Not Lore-Friendly', 'Locations - World Map')",2051,1159,52,0.014536,0.008214,0.000369,-0.000249601296,0.7833571449338084,1.0387626171761013,0.6254450764340568
"('New textures', 'Items - Ingredients')",4507,748,177,0.031943,0.005301,0.001254,-0.0010846701569999998,2.316942136128958,5.610851318879304,2.1415388051508755
"('Not Safe For Work', 'Weapons')",284,3646,14,0.002013,0.025841,9.9e-05,-4.6982066999999995e-05,0.39373461957043865,0.1112290813014183,0.10703990266669212
"('New models', 'Armor - Shields')",2261,1628,287,0.016025,0.011538,0.002034,-0.0018491035499999997,5.5312844513189665,6.503869041334294,4.213545219696809
"('New models', 'Items - Furniture')",2261,706,147,0.016025,0.005004,0.001042,-0.0009618109,2.877096675456116,5.120073418827197,2.508223226089288
"('Not Lore-Friendly', 'Utilities for Modders')",2051,478,16,0.014536,0.003388,0.000113,-6.375203199999999e-05,0.20008153231403406,0.41211183511310256,0.17998991352482152
"('Nudity', 'Clothing - Male')",336,1051,11,0.002381,0.007449,7.8e-05,-6.0263930999999996e-05,0.4644630989303858,0.26326181211075,0.22902964444842872
"('Magic - Spells', 'Utilities for Players')",2019,947,76,0.01431,0.006712,0.000539,-0.00044295128,1.400947242629419,2.0377373447691527,1.1544385161845203
"('Related to horses', 'Translation')",379,2103,22,0.002686,0.014905,0.000156,-0.00011596516999999999,0.841616844317247,0.35948298014068514,0.3305888318798987
"('Faction: Companions', 'Faction: Thieves Guild')",281,251,48,0.001992,0.001779,0.00034,-0.000336456232,2.8344755198024845,2.999045562708845,2.0600001357158573
"('Not Lore-Friendly', 'Locations - Buildings')",2051,1693,88,0.014536,0.011999,0.000624,-0.000449582536,1.4109850287518584,1.5510079573800706,1.0437167994599212
"('Related to Movies/TV/Other Games', 'Related to vampires')",1019,680,48,0.007222,0.004819,0.00034,-0.00030519718200000003,1.3538841903004188,1.6554147867481082,1.0480179684834083
"('Related to vampires', 'Locations - World Map')",680,1159,65,0.004819,0.008214,0.000461,-0.00042141673399999997,2.2857992602523245,1.7538047940730437,1.3914311856108272
"('For female characters', 'Items - Furniture')",4508,706,87,0.03195,0.005004,0.000617,-0.0004571222000000001,0.9763461076631481,2.4334297161487877,0.9061322018658665
"('Faction: Companions', 'Gameplay Effects/Changes')",281,3718,54,0.001992,0.026351,0.000383,-0.000330508808,2.7843714464325915,0.7750667178019537,0.7466778167680698
"('Locations - Caverns', 'Locations - Player-Owned')",441,1952,216,0.003126,0.013835,0.001531,-0.00148775179,10.010866549466854,4.784338721145604,4.31669741015762
"('Related to Movies/TV/Other Games', 'Clothing - Female')",1019,1431,90,0.007222,0.010142,0.000638,-0.000564754476,2.505305427288635,2.1172261130801764,1.617103795502183
"('Animation - Modified', 'Not Lore-Friendly')",364,2051,31,0.00258,0.014536,0.00022,-0.00018249712,1.3513347284752069,0.5727551305736915,0.5273434468697985
"('Races - Modified', 'Creatures')",595,1103,133,0.004217,0.007817,0.000943,-0.000910035711,5.275092658124428,3.881488467189142,3.126348822634369
"('Translation', 'Creatures - Rideable')",2103,275,15,0.014905,0.001949,0.000106,-7.6950155e-05,0.2385394773420989,0.6553646684178724,0.22415310008131156
"('Body models', 'Items - Leveled')",503,494,34,0.003565,0.003501,0.000241,-0.00022851893500000001,1.440203126298407,1.4532606501235639,1.0229626790949753
"('Creatures - Rideable', 'Hearthfire')",275,967,18,0.001949,0.006854,0.000128,-0.000114641554,0.976372614507659,0.5219384330796947,0.4602975488055114
"('Related to MLP', 'Unrealistic')",4,1027,1,2.8e-05,0.007279,7e-06,-6.796188e-06,0.4824455007291476,0.03003113399839935,0.029973120531715833
"('Animation - Modified', 'Japanese')",364,417,14,0.00258,0.002955,9.9e-05,-9.13761e-05,0.676611758490344,0.6323424061844154,0.4619916983604055
"('Chargen', 'Races - Modified')",565,595,84,0.004004,0.004217,0.000595,-0.000578115132,3.438700228245529,3.3510892501270586,2.399953625103967
"('Chargen', 'Creatures')",565,1103,29,0.004004,0.007817,0.000206,-0.000174700732,1.039141537300326,0.7451343593125227,0.6055430972255336
"('Creatures - Rideable', 'Locations - World Map')",275,1159,56,0.001949,0.008214,0.000397,-0.000380990914,3.2448015734839277,1.5855651604747871,1.4245824333860286
"('For male characters', 'Quests')",3578,843,135,0.025359,0.005975,0.000957,-0.000805479975,1.924518807431325,3.925933613003429,1.7280580908418295
"('Other languages', 'Locations - Dungeons')",619,764,23,0.004387,0.005415,0.000163,-0.000139244395,0.7914152926492439,0.7127108190312481,0.5296083261025588
"('Environment - Weather', 'Magic - Enchantments')",342,1012,28,0.002424,0.007172,0.000198,-0.000180615072,1.3796549919395973,0.8039937111353027,0.6946491515760529
"('Scripted Events', 'SKSE (Skyrim Script Extender)')",755,1199,137,0.005351,0.008498,0.000971,-0.0009255272019999999,4.765325806734412,3.7873883488805102,2.9649874263479177
"('Anime', 'Not Safe For Work')",715,284,38,0.005068,0.002013,0.000269,-0.000258798116,1.3689951817421988,2.1688653619434466,1.1576664819270648
"('Unbalanced', 'Clothing - Female')",934,1431,52,0.00662,0.010142,0.000369,-0.00030185996000000004,1.3982171393054506,1.1316524560052137,0.8796441661800353
"('Unbalanced', 'French')",934,748,21,0.00662,0.005301,0.000149,-0.00011390737999999999,0.5276196651234528,0.5892273970833385,0.393065973990104
"('Animation - Modified', 'Anime')",364,715,30,0.00258,0.005068,0.000213,-0.00019992456,1.4803795314858952,1.057564728763053,0.8605343616004443
"('Clothing', 'Plants / Foliage')",1782,452,83,0.01263,0.003204,0.000588,-0.00054753348,1.8417252952406127,3.6392936113668437,1.6432821579627888
"('Audio - Music', 'Environment - Sky')",429,435,22,0.003041,0.003083,0.000156,-0.000146624597,1.0002666384766385,0.9934508371936466,0.7048732163945676
"('Clothing', 'User Interface')",1782,594,21,0.01263,0.00421,0.000149,-9.582769999999998e-05,0.32233334676580655,0.5559323521600268,0.2788517793327983
"('Birthsigns', 'Sexy/Skimpy')",59,1268,5,0.000418,0.008987,3.5e-05,-3.1243434e-05,0.5741392255966652,0.1243562241270596,0.12153799416788169
"('Companions', 'Locations - Buildings')",2791,1693,197,0.019781,0.011999,0.001396,-0.0011586477810000002,3.12551484880415,3.997201368452981,2.4621744264155283
"('Related to horses', 'Sexy/Skimpy')",379,1268,13,0.002686,0.008987,9.2e-05,-6.7860918e-05,0.4925003917954974,0.270102432667165,0.236824790985345
"('Czech', 'English')",195,12126,148,0.001382,0.085942,0.001049,-0.000930228156,9.40570982015702,1.2466819952481927,1.2358732037110118
"('Related to horses', 'Items - Ingredients')",379,748,34,0.002686,0.005301,0.000241,-0.000226761514,1.645720950741341,1.173006495741514,0.9552027883125697
"('Faction: Thieves Guild', 'Poses')",251,122,10,0.001779,0.000865,7.1e-05,-6.946116500000001e-05,0.6191509589093803,0.8875191546248158,0.5077953984651457
"('Unrealistic', ""Modder's Resource"")",1027,1367,55,0.007279,0.009689,0.00039,-0.000319473769,1.4116971993436145,1.2250836332140713,0.9252589865917824
"('Lore-Friendly', 'Hearthfire')",8619,967,479,0.061087,0.006854,0.003395,-0.002976309702,4.668172084182848,13.550500390301522,4.413606677504977
"('Sexy/Skimpy', 'English')",1268,12126,468,0.008987,0.085942,0.003317,-0.002544639246,10.12826337841378,3.410298765876246,3.2320034692313664
"('New Lands', 'Japanese')",460,417,18,0.00326,0.002955,0.000128,-0.00011836669999999999,0.7799838458931595,0.8191232049749205,0.5648618592676115
"('Faction: College of Winterhold', 'Unrealistic')",221,1027,5,0.001566,0.007279,3.5e-05,-2.3601086e-05,0.22419826098023674,0.10428895965999571,0.09455927589370977
"('ENB Preset', 'Animation - New')",76,269,1,0.000539,0.001907,7e-06,-5.972127e-06,0.09665126395655453,0.05141904368513849,0.04539474080165779
"('Hair', 'Lighting')",398,760,20,0.002821,0.005386,0.000142,-0.000126806094,0.8980651261456228,0.6507819196120359,0.5269677442011554
"('Hair', 'Weapons')",398,3646,37,0.002821,0.025841,0.000262,-0.00018910253900000003,1.3392605211977635,0.4476963877458953,0.4246005458782997
